airport,side,period,days,scheduled_ops,nas_delay_minutes,ops_per_day,nas_min_per_day,nas_min_per_op
ATL,arr,cap_20250616_1025,132,118191,266544.0,895.3863636363636,2019.2727272727273,2.2551970962256007
ATL,arr,extension_20251026_1231,67,56706,179009.0,846.3582089552239,2671.776119402985,3.156791168483053
ATL,arr,interim_20250520_0615,27,24299,86380.0,899.9629629629629,3199.259259259259,3.5548788015967734
ATL,arr,pre_20250101_0414,104,84860,259991.0,815.9615384615385,2499.9134615384614,3.0637638463351404
ATL,arr,stress_20250415_0519,35,30383,79236.0,868.0857142857143,2263.885714285714,2.6079057367606886
ATL,dep,cap_20250616_1025,132,118174,381640.0,895.2575757575758,2891.212121212121,3.2294751806657978
ATL,dep,extension_20251026_1231,67,56700,183696.0,846.2686567164179,2741.731343283582,3.23978835978836
ATL,dep,interim_20250520_0615,27,24310,100455.0,900.3703703703703,3720.5555555555557,4.132250102838338
ATL,dep,pre_20250101_0414,104,84873,264989.0,816.0865384615385,2547.971153846154,3.1221825551117552
ATL,dep,stress_20250415_0519,35,30376,146366.0,867.8857142857142,4181.885714285714,4.818475111930471
BOS,arr,cap_20250616_1025,132,53558,539615.0,405.74242424242425,4087.992424242424,10.07533888494716
BOS,arr,extension_20251026_1231,67,24956,137125.0,372.4776119402985,2046.641791044776,5.494670620291713
BOS,arr,interim_20250520_0615,27,10878,78514.0,402.8888888888889,2907.925925925926,7.217687074829932
BOS,arr,pre_20250101_0414,104,38894,127227.0,373.9807692307692,1223.3365384615386,3.2711215097444337
BOS,arr,stress_20250415_0519,35,14564,92826.0,416.1142857142857,2652.1714285714284,6.373661082120297
BOS,dep,cap_20250616_1025,132,53568,231051.0,405.8181818181818,1750.3863636363637,4.313228046594982
BOS,dep,extension_20251026_1231,67,24960,139266.0,372.53731343283584,2078.597014925373,5.579567307692308
BOS,dep,interim_20250520_0615,27,10877,43642.0,402.85185185185185,1616.3703703703704,4.012319573411786
BOS,dep,pre_20250101_0414,104,38894,198206.0,373.9807692307692,1905.826923076923,5.0960559469326885
BOS,dep,stress_20250415_0519,35,14560,68147.0,416.0,1947.057142857143,4.680425824175824
BWI,arr,cap_20250616_1025,132,36516,132990.0,276.6363636363636,1007.5,3.64196516595465
BWI,arr,extension_20251026_1231,67,17181,27841.0,256.43283582089555,415.53731343283584,1.6204528257959374
