airport,side,period,days,operated_ops,taxi_min_sum,extra_taxi_sum,nas_delay_minutes,taxi_min_per_day,extra_taxi_per_day,taxi_min_per_op,extra_taxi_per_op
ATL,arr,cap_20250616_1025,132,116848,1156186.0,579617.0,266544.0,8758.984848484848,4391.037878787879,9.894786389155142,4.960435779816514
ATL,arr,extension_20251026_1231,67,55369,535998.0,264228.0,179009.0,7999.9701492537315,3943.7014925373132,9.680471021690838,4.772128808539074
ATL,arr,interim_20250520_0615,27,24136,235829.0,117045.0,86380.0,8734.407407407407,4335.0,9.770840238647663,4.8493950944647
ATL,arr,pre_20250101_0414,104,83054,791885.0,385175.0,259991.0,7614.278846153846,3703.605769230769,9.53457991186457,4.637645387338358
ATL,arr,stress_20250415_0519,35,30280,288539.0,139546.0,79236.0,8243.971428571429,3987.0285714285715,9.529029062087186,4.608520475561427
ATL,dep,cap_20250616_1025,132,116880,1966857.0,701745.0,381640.0,14900.431818181818,5316.25,16.828003080082137,6.003978439425051
ATL,dep,extension_20251026_1231,67,55417,928457.0,325802.0,183696.0,13857.567164179105,4862.7164179104475,16.754010502192468,5.879098471588141
ATL,dep,interim_20250520_0615,27,24149,436203.0,173054.0,100455.0,16155.666666666666,6409.407407407408,18.062983974491697,7.166093834113214
ATL,dep,pre_20250101_0414,104,83166,1412603.0,508124.0,264989.0,13582.721153846154,4885.807692307692,16.985342567876295,6.109756390832792
ATL,dep,stress_20250415_0519,35,30285,527227.0,197961.0,146366.0,15063.628571428571,5656.028571428571,17.40884926531286,6.5366022783556215
BOS,arr,cap_20250616_1025,132,52544,478160.0,268896.0,539615.0,3622.4242424242425,2037.090909090909,9.100182704019488,5.117539585870889
BOS,arr,extension_20251026_1231,67,24357,199777.0,102999.0,137125.0,2981.7462686567164,1537.2985074626865,8.202036375579915,4.228722749107033
BOS,arr,interim_20250520_0615,27,10846,100567.0,57403.0,78514.0,3724.703703703704,2126.037037037037,9.272266273280472,5.292550248939701
BOS,arr,pre_20250101_0414,104,38269,323168.0,171087.0,127227.0,3107.3846153846152,1645.0673076923076,8.444641877237451,4.470642034022315
BOS,arr,stress_20250415_0519,35,14458,125688.0,68176.0,92826.0,3591.0857142857144,1947.8857142857144,8.693318577949924,4.715451653064048
BOS,dep,cap_20250616_1025,132,52516,1105890.0,430983.0,231051.0,8377.954545454546,3265.0227272727275,21.05815370553736,8.206698910808134
BOS,dep,extension_20251026_1231,67,24373,533180.0,219032.0,139266.0,7957.910447761194,3269.134328358209,21.875846223279858,8.986665572559799
BOS,dep,interim_20250520_0615,27,10846,220157.0,81341.0,43642.0,8153.962962962963,3012.6296296296296,20.29845104185875,7.499631200442559
BOS,dep,pre_20250101_0414,104,38274,811004.0,319388.0,198206.0,7798.115384615385,3071.0384615384614,21.189423629618016,8.34477713330198
BOS,dep,stress_20250415_0519,35,14455,303528.0,118088.0,68147.0,8672.228571428572,3373.942857142857,20.998132134209616,8.169353164994812
BWI,arr,cap_20250616_1025,132,36023,233559.0,126066.0,132990.0,1769.3863636363637,955.0454545454545,6.4836076950836965,3.499597479388169
BWI,arr,extension_20251026_1231,67,16923,94518.0,44267.0,27841.0,1410.7164179104477,660.7014925373135,5.585179932636057,2.6157891626780123
BWI,arr,interim_20250520_0615,27,7479,44762.0,22505.0,25423.0,1657.851851851852,833.5185185185185,5.985024735927263,3.00909212461559
BWI,arr,pre_20250101_0414,104,24859,137634.0,63796.0,52828.0,1323.4038461538462,613.4230769230769,5.536586346997064,2.566314011022165
BWI,arr,stress_20250415_0519,35,9497,55501.0,27192.0,26062.0,1585.7428571428572,776.9142857142857,5.844056017689796,2.863219964199221
BWI,dep,cap_20250616_1025,132,36029,568426.0,212994.0,125526.0,4306.257575757576,1613.590909090909,15.776901940103805,5.911737766798968
BWI,dep,extension_20251026_1231,67,16933,257465.0,91003.0,53197.0,3842.7611940298507,1358.2537313432836,15.204925293804996,5.374298706667454
BWI,dep,interim_20250520_0615,27,7474,119933.0,46328.0,37500.0,4441.962962962963,1715.851851851852,16.046695210061547,6.198554990634198
BWI,dep,pre_20250101_0414,104,24883,377907.0,133675.0,74550.0,3633.721153846154,1285.3365384615386,15.187356829964232,5.372141622794679
BWI,dep,stress_20250415_0519,35,9489,154611.0,60875.0,30694.0,4417.457142857143,1739.2857142857142,16.293708504584256,6.415323005585415
DCA,arr,cap_20250616_1025,132,49951,390354.0,241715.0,283794.0,2957.2272727272725,1831.1742424242425,7.814738443674801,4.839042261416187
DCA,arr,extension_20251026_1231,67,24691,179273.0,105778.0,163693.0,2675.716417910448,1578.7761194029852,7.260661779595804,4.284071119031226
DCA,arr,interim_20250520_0615,27,10420,78204.0,47206.0,58666.0,2896.4444444444443,1748.3703703703704,7.505182341650672,4.530326295585413
DCA,arr,pre_20250101_0414,104,38419,283210.0,169158.0,272127.0,2723.173076923077,1626.5192307692307,7.371613003982405,4.402977693328822
DCA,arr,stress_20250415_0519,35,13691,100841.0,60134.0,86913.0,2881.1714285714284,1718.1142857142856,7.365495581038639,4.392228471258491
DCA,dep,cap_20250616_1025,132,49872,1108387.0,517489.0,208311.0,8396.871212121212,3920.371212121212,22.224635065768368,10.376343439204364
DCA,dep,extension_20251026_1231,67,24664,546910.0,254801.0,111654.0,8162.835820895522,3803.0,22.174424262082386,10.330887122932209
DCA,dep,interim_20250520_0615,27,10413,236622.0,113148.0,52458.0,8763.777777777777,4190.666666666667,22.723710746182658,10.866032843560934
DCA,dep,pre_20250101_0414,104,38367,833119.0,378572.0,140471.0,8010.759615384615,3640.1153846153848,21.714468162744026,9.86712539421899
DCA,dep,stress_20250415_0519,35,13689,292579.0,130587.0,58428.0,8359.4,3731.057142857143,21.373292424574476,9.539557308788078
EWR,arr,cap_20250616_1025,132,43039,415020.0,202822.0,595741.0,3144.090909090909,1536.530303030303,9.642882037222055,4.712516554752666
EWR,arr,extension_20251026_1231,67,22420,223459.0,112398.0,273238.0,3335.208955223881,1677.5820895522388,9.966949152542373,5.01329170383586
EWR,arr,interim_20250520_0615,27,7425,64721.0,28280.0,78223.0,2397.074074074074,1047.4074074074074,8.716632996632997,3.8087542087542086
EWR,arr,pre_20250101_0414,104,34297,332183.0,162819.0,173879.0,3194.0673076923076,1565.5673076923076,9.68548269527947,4.747324838907193
EWR,arr,stress_20250415_0519,35,10100,92405.0,42831.0,432617.0,2640.1428571428573,1223.7428571428572,9.1490099009901,4.240693069306931
EWR,dep,cap_20250616_1025,132,43060,1127575.0,530932.0,248185.0,8542.234848484848,4022.212121212121,26.186135624709706,12.330051091500232
EWR,dep,extension_20251026_1231,67,22347,600746.0,290850.0,151439.0,8966.358208955224,4341.044776119403,26.88262406587014,13.015169821452544
EWR,dep,interim_20250520_0615,27,7427,193257.0,90429.0,40275.0,7157.666666666667,3349.222222222222,26.020869799380637,12.175710246398276
EWR,dep,pre_20250101_0414,104,34332,803696.0,329325.0,135533.0,7727.846153846154,3166.5865384615386,23.40953046720261,9.592362810206222
EWR,dep,stress_20250415_0519,35,10092,310954.0,170244.0,95542.0,8884.4,4864.114285714286,30.811930241775663,16.8692033293698
IAD,arr,cap_20250616_1025,132,21524,183796.0,98305.0,76390.0,1392.3939393939395,744.7348484848485,8.53911912283962,4.567227281174503
IAD,arr,extension_20251026_1231,67,10034,76025.0,36130.0,27382.0,1134.7014925373135,539.2537313432836,7.576739087103847,3.6007574247558303
IAD,arr,interim_20250520_0615,27,4774,41946.0,22985.0,13001.0,1553.5555555555557,851.2962962962963,8.786342689568496,4.81462086300796
IAD,arr,pre_20250101_0414,104,14519,106487.0,48895.0,32288.0,1023.9134615384615,470.1442307692308,7.334320545492114,3.367656174667677
