IATA_CODE_Reporting_Airline,Reporting_Airline,side,period,days,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,weather_delay_minutes,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
AA,AA,arr,pre_20250101_0414,104,1787,1759,28.0,522.0,9584.0,3123.0,17.182692307692307,0.01566871852266368,0.2967595224559409,5.36317851147174
AA,AA,arr,stress_20250415_0519,35,557,535,22.0,283.0,16957.0,1827.0,15.914285714285715,0.03949730700179533,0.5289719626168224,30.443447037701976
AA,AA,arr,interim_20250520_0615,27,450,448,2.0,165.0,3653.0,730.0,16.666666666666668,0.0044444444444444444,0.36830357142857145,8.117777777777778
AA,AA,arr,cap_20250616_1025,132,2199,2120,79.0,776.0,24671.0,3767.0,16.65909090909091,0.035925420645748066,0.3660377358490566,11.21919054115507
AA,AA,arr,extension_20251026_1231,67,1149,1110,39.0,382.0,10657.0,857.0,17.149253731343283,0.033942558746736295,0.3441441441441441,9.275021758050478
AA,AA,dep,pre_20250101_0414,104,1788,1758,30.0,318.0,6092.0,1307.0,17.192307692307693,0.016778523489932886,0.18088737201365188,3.407158836689038
AA,AA,dep,stress_20250415_0519,35,557,533,24.0,180.0,3362.0,1011.0,15.914285714285715,0.04308797127468582,0.33771106941838647,6.0359066427289045
AA,AA,dep,interim_20250520_0615,27,451,447,4.0,98.0,1916.0,486.0,16.703703703703702,0.008869179600886918,0.21923937360178972,4.248337028824833
AA,AA,dep,cap_20250616_1025,132,2202,2124,78.0,495.0,10613.0,5441.0,16.681818181818183,0.035422343324250684,0.2330508474576271,4.819709355131699
AA,AA,dep,extension_20251026_1231,67,1148,1108,40.0,238.0,5459.0,3642.0,17.134328358208954,0.03484320557491289,0.2148014440433213,4.755226480836237
AS,AS,arr,pre_20250101_0414,104,663,662,1.0,104.0,1935.0,294.0,6.375,0.0015082956259426848,0.15709969788519637,2.918552036199095
AS,AS,arr,stress_20250415_0519,35,339,333,6.0,152.0,20468.0,1459.0,9.685714285714285,0.017699115044247787,0.45645645645645644,60.37758112094395
AS,AS,arr,interim_20250520_0615,27,266,262,4.0,65.0,2880.0,0.0,9.851851851851851,0.015037593984962405,0.2480916030534351,10.827067669172932
AS,AS,arr,cap_20250616_1025,132,1238,1216,22.0,245.0,8201.0,1352.0,9.378787878787879,0.017770597738287562,0.20148026315789475,6.624394184168013
AS,AS,arr,extension_20251026_1231,67,645,630,15.0,107.0,5710.0,403.0,9.626865671641792,0.023255813953488372,0.16984126984126985,8.852713178294573
AS,AS,dep,pre_20250101_0414,104,663,657,6.0,129.0,2537.0,250.0,6.375,0.00904977375565611,0.1963470319634703,3.8265460030165914
AS,AS,dep,stress_20250415_0519,35,339,332,7.0,161.0,2448.0,125.0,9.685714285714285,0.02064896755162242,0.48493975903614456,7.221238938053097
AS,AS,dep,interim_20250520_0615,27,266,261,5.0,61.0,1028.0,6.0,9.851851851851851,0.018796992481203006,0.23371647509578544,3.8646616541353382
AS,AS,dep,cap_20250616_1025,132,1238,1211,27.0,295.0,9050.0,3821.0,9.378787878787879,0.021809369951534735,0.24360033030553263,7.310177705977383
AS,AS,dep,extension_20251026_1231,67,644,624,20.0,150.0,5338.0,552.0,9.611940298507463,0.031055900621118012,0.2403846153846154,8.288819875776397
B6,B6,arr,pre_20250101_0414,104,1443,1425,18.0,442.0,8008.0,305.0,13.875,0.012474012474012475,0.3101754385964912,5.54954954954955
B6,B6,arr,stress_20250415_0519,35,545,531,14.0,275.0,19357.0,225.0,15.571428571428571,0.025688073394495414,0.5178907721280602,35.51743119266055
B6,B6,arr,interim_20250520_0615,27,434,434,0.0,118.0,4386.0,514.0,16.074074074074073,0.0,0.271889400921659,10.105990783410139
B6,B6,arr,cap_20250616_1025,132,1896,1839,57.0,594.0,28349.0,1079.0,14.363636363636363,0.030063291139240507,0.32300163132137033,14.952004219409282
B6,B6,arr,extension_20251026_1231,67,984,941,43.0,363.0,11147.0,270.0,14.686567164179104,0.04369918699186992,0.38575982996811903,11.328252032520325
B6,B6,dep,pre_20250101_0414,104,1448,1431,17.0,374.0,9646.0,893.0,13.923076923076923,0.011740331491712707,0.2613556953179595,6.661602209944752
