metric,metric_label,side,base_period,compare_period,ewr_delta,control_mean_delta,ewr_minus_control_delta
ops_per_day,Ops/day,arr,pre_20250101_0414,stress_20250415_0519,-29.89862637362637,41.33351648351648,-71.23214285714286
ops_per_day,Ops/day,dep,pre_20250101_0414,stress_20250415_0519,-29.67939560439561,41.35576923076922,-71.03516483516484
cancel_rate,Cancel. rate,arr,pre_20250101_0414,stress_20250415_0519,0.03848839565128065,-0.012914759897480466,0.05140315554876111
cancel_rate,Cancel. rate,dep,pre_20250101_0414,stress_20250415_0519,0.04092419394630653,-0.012684497628944998,0.05360869157525153
delay15_rate,Delay-15+ rate,arr,pre_20250101_0414,stress_20250415_0519,0.27317948600994746,0.0243514106749434,0.24882807533500406
delay15_rate,Delay-15+ rate,dep,pre_20250101_0414,stress_20250415_0519,0.13501324341746254,0.01199134434023769,0.12302189907722486
nas_delay_per_scheduled_op,NAS min/op,arr,pre_20250101_0414,stress_20250415_0519,35.59803958097085,1.3560736085405005,34.24196597243035
nas_delay_per_scheduled_op,NAS min/op,dep,pre_20250101_0414,stress_20250415_0519,5.062267883331552,0.6376500888405872,4.424617794490965
weather_delay_per_scheduled_op,Weather min/op,arr,pre_20250101_0414,stress_20250415_0519,0.8092673463516143,-0.060595151330717356,0.8698624976823317
weather_delay_per_scheduled_op,Weather min/op,dep,pre_20250101_0414,stress_20250415_0519,-0.11697247234422609,-0.12260871131923795,0.005636238975011865
ops_per_day,Ops/day,arr,pre_20250101_0414,interim_20250520_0615,-58.09650997150999,50.504827477049695,-108.60133744855969
ops_per_day,Ops/day,dep,pre_20250101_0414,interim_20250520_0615,-58.15135327635329,50.57799145299145,-108.72934472934475
cancel_rate,Cancel. rate,arr,pre_20250101_0414,interim_20250520_0615,-0.009130529749518997,-0.014035518650637001,0.004904988901118004
cancel_rate,Cancel. rate,dep,pre_20250101_0414,interim_20250520_0615,-0.008602398172557183,-0.013987552707147917,0.005385154534590734
delay15_rate,Delay-15+ rate,arr,pre_20250101_0414,interim_20250520_0615,0.060699571351815,0.029107282856943133,0.03159228849487187
delay15_rate,Delay-15+ rate,dep,pre_20250101_0414,interim_20250520_0615,-0.0037807152301665703,0.029611137019152547,-0.03339185224931912
nas_delay_per_scheduled_op,NAS min/op,arr,pre_20250101_0414,interim_20250520_0615,5.486659997707461,0.649970227030664,4.836689770676797
