metric,side,excluded_control,ewr_delta,control_mean_delta,ewr_minus_control_delta
cancel_rate,arr,JFK,-0.04761892540079964,-0.0012319098112224453,-0.046387015589577196
cancel_rate,arr,LGA,-0.04761892540079964,-0.00027464480205922166,-0.04734428059874042
cancel_rate,arr,BOS,-0.04761892540079964,-0.0007187907170854385,-0.046900134683714206
cancel_rate,arr,PHL,-0.04761892540079964,-0.0002809227903689819,-0.04733800261043066
cancel_rate,arr,IAD,-0.04761892540079964,-0.0013900474230057907,-0.046228877977793854
cancel_rate,arr,DCA,-0.04761892540079964,-0.0015395630097239917,-0.04607936239107565
cancel_rate,arr,BWI,-0.04761892540079964,-0.0018321044531991128,-0.04578682094760053
cancel_rate,arr,ATL,-0.04761892540079964,-0.0016756087641649567,-0.04594331663663469
cancel_rate,arr,ORD,-0.04761892540079964,-0.0011432370075788812,-0.04647568839322076
cancel_rate,dep,JFK,-0.04952659211886371,-0.0014796283533792492,-0.048046963765484466
cancel_rate,dep,LGA,-0.04952659211886371,-0.0005046626182611998,-0.04902192950060251
cancel_rate,dep,BOS,-0.04952659211886371,-0.0009207509759626342,-0.04860584114290108
cancel_rate,dep,PHL,-0.04952659211886371,-0.0003931015226276536,-0.049133490596236055
cancel_rate,dep,IAD,-0.04952659211886371,-0.001341156669347185,-0.04818543544951653
cancel_rate,dep,DCA,-0.04952659211886371,-0.0018837715438633014,-0.04764282057500041
cancel_rate,dep,BWI,-0.04952659211886371,-0.0020146945138492566,-0.04751189760501445
cancel_rate,dep,ATL,-0.04952659211886371,-0.0019193123165747884,-0.047607279802288925
cancel_rate,dep,ORD,-0.04952659211886371,-0.001270417189961012,-0.0482561749289027
delay15_rate,arr,JFK,-0.21247991465813243,0.007558426139687966,-0.2200383407978204
delay15_rate,arr,LGA,-0.21247991465813243,0.01154450373484248,-0.2240244183929749
delay15_rate,arr,BOS,-0.21247991465813243,0.0026001555625364686,-0.21508007022066888
delay15_rate,arr,PHL,-0.21247991465813243,0.004314190413649742,-0.21679410507178218
delay15_rate,arr,IAD,-0.21247991465813243,0.006822272457680027,-0.21930218711581245
delay15_rate,arr,DCA,-0.21247991465813243,0.0058657854533517295,-0.21834570011148416
delay15_rate,arr,BWI,-0.21247991465813243,0.002592173498852178,-0.21507208815698461
delay15_rate,arr,ATL,-0.21247991465813243,0.0015127209244424726,-0.2139926355825749
delay15_rate,arr,ORD,-0.21247991465813243,-7.378547045432116e-06,-0.212472536111087
delay15_rate,dep,JFK,-0.1387939586476291,0.01784802134206841,-0.15664197998969753
delay15_rate,dep,LGA,-0.1387939586476291,0.021711239437913334,-0.16050519808554245
delay15_rate,dep,BOS,-0.1387939586476291,0.019658209323152466,-0.15845216797078157
delay15_rate,dep,PHL,-0.1387939586476291,0.019437589901861473,-0.1582315485494906
delay15_rate,dep,IAD,-0.1387939586476291,0.019201471996005033,-0.15799543064363414
delay15_rate,dep,DCA,-0.1387939586476291,0.01820939133932211,-0.15700334998695123
delay15_rate,dep,BWI,-0.1387939586476291,0.01597608300885016,-0.15477004165647928
delay15_rate,dep,ATL,-0.1387939586476291,0.012284886343519055,-0.15107884499114815
delay15_rate,dep,ORD,-0.1387939586476291,0.014251241417541652,-0.15304520006517075
nas_delay_per_scheduled_op,arr,JFK,-30.111379583263385,-0.49635873286890136,-29.615020850394483
nas_delay_per_scheduled_op,arr,LGA,-30.111379583263385,-0.06275270843729269,-30.04862687482609
nas_delay_per_scheduled_op,arr,BOS,-30.111379583263385,-0.8998695532872705,-29.211510029976115
nas_delay_per_scheduled_op,arr,PHL,-30.111379583263385,-0.6844451714824178,-29.42693441178097
nas_delay_per_scheduled_op,arr,IAD,-30.111379583263385,-0.7408988740300637,-29.370480709233323
nas_delay_per_scheduled_op,arr,DCA,-30.111379583263385,-0.7047955705444178,-29.406584012718966
nas_delay_per_scheduled_op,arr,BWI,-30.111379583263385,-0.8740779626368388,-29.237301620626546
nas_delay_per_scheduled_op,arr,ATL,-30.111379583263385,-0.9127379373030766,-29.198641645960308
nas_delay_per_scheduled_op,arr,ORD,-30.111379583263385,-0.9789939229982487,-29.132385660265136
nas_delay_per_scheduled_op,dep,JFK,-3.5591770132629863,0.2516176514614122,-3.8107946647243987
nas_delay_per_scheduled_op,dep,LGA,-3.5591770132629863,0.20361431002069513,-3.7627913232836816
nas_delay_per_scheduled_op,dep,BOS,-3.5591770132629863,0.3624984767673813,-3.9216754900303674
nas_delay_per_scheduled_op,dep,PHL,-3.5591770132629863,0.16843215768573355,-3.72760917094872
nas_delay_per_scheduled_op,dep,IAD,-3.5591770132629863,0.2945620538792793,-3.8537390671422656
nas_delay_per_scheduled_op,dep,DCA,-3.5591770132629863,0.18678380244537468,-3.745960815708361
nas_delay_per_scheduled_op,dep,BWI,-3.5591770132629863,0.059579879095251975,-3.6187568923582383
nas_delay_per_scheduled_op,dep,ATL,-3.5591770132629863,0.36476332155839325,-3.9239403348213795
nas_delay_per_scheduled_op,dep,ORD,-3.5591770132629863,0.34002991046149106,-3.8992069237244773
