metric,side,pseudo_treated_airport,treated_minus_control_delta,rank_most_negative,airport_count
cancel_rate,arr,EWR,-0.046498166647643106,1,10
cancel_rate,arr,JFK,0.006154472365879543,6,10
cancel_rate,arr,LGA,-0.0023545499377935555,2,10
cancel_rate,arr,BOS,0.0015934137513283703,4,10
cancel_rate,arr,PHL,-0.002298745597262353,3,10
cancel_rate,arr,IAD,0.007560140026175946,7,10
cancel_rate,arr,DCA,0.008889167463671065,8,10
cancel_rate,arr,BWI,0.011489535850116587,10,10
cancel_rate,arr,ATL,0.010098463058701865,9,10
cancel_rate,arr,ORD,0.0053662696668256415,5,10
cancel_rate,dep,EWR,-0.04822353704066079,1,10
cancel_rate,dep,JFK,0.006927711006085234,7,10
cancel_rate,dep,LGA,-0.001738651083852981,3,10
cancel_rate,dep,BOS,0.0019599120957153266,4,10
cancel_rate,dep,PHL,-0.0027303052672622806,2,10
cancel_rate,dep,IAD,0.0056968515924668865,6,10
cancel_rate,dep,DCA,0.010520094921499034,8,10
cancel_rate,dep,BWI,0.011683854654707525,10,10
cancel_rate,dep,ATL,0.010836012901156697,9,10
cancel_rate,dep,ORD,0.005068056220145348,5,10
delay15_rate,arr,EWR,-0.21723578684013217,1,10
delay15_rate,arr,JFK,-0.0007742810861029077,3,10
delay15_rate,arr,LGA,-0.036206081931920805,2,10
delay15_rate,arr,BOS,0.04329923515524374,7,10
delay15_rate,arr,PHL,0.02806336981201464,6,10
delay15_rate,arr,IAD,0.0057693071984121075,4,10
delay15_rate,arr,DCA,0.014271413903552528,5,10
delay15_rate,arr,BWI,0.04337018683243743,8,10
delay15_rate,arr,ATL,0.05296532082719037,9,10
delay15_rate,arr,ORD,0.06647731612930508,10,10
delay15_rate,dep,EWR,-0.15641375132654398,1,10
delay15_rate,dep,JFK,0.015350606474917724,7,10
delay15_rate,dep,LGA,-0.018989109932592712,2,10
delay15_rate,dep,BOS,-0.0007399533569405481,3,10
delay15_rate,dep,PHL,0.0012211081656460603,4,10
delay15_rate,dep,IAD,0.0033199339954810775,5,10
delay15_rate,dep,DCA,0.0121384287215515,6,10
delay15_rate,dep,BWI,0.031990058325746626,8,10
delay15_rate,dep,ATL,0.06480069535091199,10,10
delay15_rate,dep,ORD,0.04732198358182224,9,10
nas_delay_per_scheduled_op,arr,EWR,-29.405276201753548,1,10
nas_delay_per_scheduled_op,arr,JFK,1.4028560344976375,3,10
nas_delay_per_scheduled_op,arr,LGA,-2.4514197382277723,2,10
nas_delay_per_scheduled_op,arr,BOS,4.98961888266092,8,10
nas_delay_per_scheduled_op,arr,PHL,3.0747354888400062,4,10
nas_delay_per_scheduled_op,arr,IAD,3.576546178152414,6,10
nas_delay_per_scheduled_op,arr,DCA,3.2556279249466726,5,10
nas_delay_per_scheduled_op,arr,BWI,4.760360299101528,7,10
nas_delay_per_scheduled_op,arr,ATL,5.104004518356974,9,10
nas_delay_per_scheduled_op,arr,ORD,5.69294661342517,10,10
nas_delay_per_scheduled_op,dep,EWR,-3.8071638536379875,1,10
nas_delay_per_scheduled_op,dep,JFK,0.3907443296361248,6,10
nas_delay_per_scheduled_op,dep,LGA,0.8174406979980542,7,10
nas_delay_per_scheduled_op,dep,BOS,-0.5948630064169338,3,10
nas_delay_per_scheduled_op,dep,PHL,1.1301709409754905,9,10
nas_delay_per_scheduled_op,dep,IAD,0.009016308143972612,5,10
nas_delay_per_scheduled_op,dep,DCA,0.9670452097786804,8,10
nas_delay_per_scheduled_op,dep,BWI,2.09774675066866,10,10
nas_delay_per_scheduled_op,dep,ATL,-0.614994960114818,2,10
nas_delay_per_scheduled_op,dep,ORD,-0.395142417031243,4,10
