period,side,hour,avg_ops,p90_ops,share_above_28,share_above_34,share_above_period_target
stress_20250415_0519,arr,6,5.885714285714286,7.0,0.0,0.0,0.0
stress_20250415_0519,arr,7,17.6,20.0,0.0,0.0,0.0
stress_20250415_0519,arr,8,21.771428571428572,23.6,0.0,0.0,0.0
stress_20250415_0519,arr,9,14.485714285714286,17.6,0.0,0.0,0.0
stress_20250415_0519,arr,10,14.771428571428572,16.0,0.0,0.0,0.0
stress_20250415_0519,arr,11,17.62857142857143,19.6,0.0,0.0,0.0
stress_20250415_0519,arr,12,15.371428571428572,19.0,0.0,0.0,0.0
stress_20250415_0519,arr,13,16.742857142857144,18.0,0.0,0.0,0.0
stress_20250415_0519,arr,14,15.571428571428571,17.0,0.0,0.0,0.0
stress_20250415_0519,arr,15,14.6,16.0,0.0,0.0,0.0
stress_20250415_0519,arr,16,15.028571428571428,17.0,0.0,0.0,0.0
stress_20250415_0519,arr,17,17.085714285714285,19.0,0.0,0.0,0.0
stress_20250415_0519,arr,18,15.8,18.0,0.0,0.0,0.0
stress_20250415_0519,arr,19,15.542857142857143,18.0,0.0,0.0,0.0
stress_20250415_0519,arr,20,11.628571428571428,14.0,0.0,0.0,0.0
stress_20250415_0519,arr,21,18.17142857142857,20.0,0.0,0.0,0.0
stress_20250415_0519,arr,22,15.4,17.6,0.0,0.0,0.0
stress_20250415_0519,dep,6,28.742857142857144,31.0,0.45714285714285713,0.0,0.45714285714285713
stress_20250415_0519,dep,7,24.2,27.0,0.0,0.0,0.0
stress_20250415_0519,dep,8,11.82857142857143,14.0,0.0,0.0,0.0
stress_20250415_0519,dep,9,17.8,20.0,0.0,0.0,0.0
stress_20250415_0519,dep,10,19.314285714285713,23.0,0.0,0.0,0.0
stress_20250415_0519,dep,11,19.0,21.6,0.0,0.0,0.0
stress_20250415_0519,dep,12,12.257142857142858,14.0,0.0,0.0,0.0
stress_20250415_0519,dep,13,13.514285714285714,16.0,0.0,0.0,0.0
stress_20250415_0519,dep,14,22.057142857142857,24.0,0.0,0.0,0.0
stress_20250415_0519,dep,15,16.285714285714285,18.0,0.0,0.0,0.0
stress_20250415_0519,dep,16,23.714285714285715,26.0,0.0,0.0,0.0
stress_20250415_0519,dep,17,10.085714285714285,11.0,0.0,0.0,0.0
stress_20250415_0519,dep,18,16.257142857142856,18.0,0.0,0.0,0.0
stress_20250415_0519,dep,19,20.0,23.0,0.0,0.0,0.0
stress_20250415_0519,dep,20,16.2,18.0,0.0,0.0,0.0
stress_20250415_0519,dep,21,16.285714285714285,18.0,0.0,0.0,0.0
stress_20250415_0519,dep,22,5.457142857142857,6.0,0.0,0.0,0.0
interim_20250520_0615,arr,6,4.481481481481482,5.400000000000002,0.0,0.0,0.0
interim_20250520_0615,arr,7,19.25925925925926,21.0,0.0,0.0,0.0
interim_20250520_0615,arr,8,17.22222222222222,18.400000000000002,0.0,0.0,0.0
interim_20250520_0615,arr,9,21.333333333333332,23.0,0.0,0.0,0.0
interim_20250520_0615,arr,10,15.851851851851851,17.0,0.0,0.0,0.0
interim_20250520_0615,arr,11,15.296296296296296,17.400000000000002,0.0,0.0,0.0
interim_20250520_0615,arr,12,9.592592592592593,12.0,0.0,0.0,0.0
interim_20250520_0615,arr,13,13.074074074074074,14.400000000000002,0.0,0.0,0.0
interim_20250520_0615,arr,14,13.518518518518519,15.0,0.0,0.0,0.0
interim_20250520_0615,arr,15,15.814814814814815,17.0,0.0,0.0,0.0
interim_20250520_0615,arr,16,12.25925925925926,14.0,0.0,0.0,0.0
interim_20250520_0615,arr,17,15.148148148148149,16.0,0.0,0.0,0.0
interim_20250520_0615,arr,18,14.592592592592593,16.0,0.0,0.0,0.0
interim_20250520_0615,arr,19,15.333333333333334,17.0,0.0,0.0,0.0
interim_20250520_0615,arr,20,10.148148148148149,11.0,0.0,0.0,0.0
interim_20250520_0615,arr,21,14.851851851851851,16.400000000000002,0.0,0.0,0.0
interim_20250520_0615,arr,22,14.74074074074074,17.0,0.0,0.0,0.0
interim_20250520_0615,dep,6,23.59259259259259,25.400000000000002,0.0,0.0,0.0
interim_20250520_0615,dep,7,19.74074074074074,21.800000000000004,0.0,0.0,0.0
interim_20250520_0615,dep,8,12.074074074074074,14.0,0.0,0.0,0.0
interim_20250520_0615,dep,9,20.85185185185185,22.400000000000002,0.0,0.0,0.0
interim_20250520_0615,dep,10,21.666666666666668,23.0,0.0,0.0,0.0
interim_20250520_0615,dep,11,12.814814814814815,15.200000000000006,0.0,0.0,0.0
interim_20250520_0615,dep,12,10.777777777777779,12.0,0.0,0.0,0.0
interim_20250520_0615,dep,13,13.962962962962964,16.0,0.0,0.0,0.0
interim_20250520_0615,dep,14,16.74074074074074,18.400000000000002,0.0,0.0,0.0
interim_20250520_0615,dep,15,16.444444444444443,19.0,0.0,0.0,0.0
interim_20250520_0615,dep,16,21.37037037037037,23.0,0.0,0.0,0.0
interim_20250520_0615,dep,17,9.222222222222221,11.0,0.0,0.0,0.0
interim_20250520_0615,dep,18,13.592592592592593,15.0,0.0,0.0,0.0
interim_20250520_0615,dep,19,17.59259259259259,19.0,0.0,0.0,0.0
interim_20250520_0615,dep,20,15.814814814814815,17.0,0.0,0.0,0.0
interim_20250520_0615,dep,21,16.444444444444443,18.0,0.0,0.0,0.0
interim_20250520_0615,dep,22,4.814814814814815,5.0,0.0,0.0,0.0
