treated_airport,side,metric,metric_label,unit,coef,rank_lowest,airports,permutation_p_lower_or_equal
ATL,arr,scheduled_ops,Scheduled ops/day,ops,29.380952380951385,9.0,10,0.9
ATL,arr,cancel_rate,Cancellation rate,pp,0.006855359903962673,9.0,10,0.9
ATL,arr,delay15_rate,Delay-15-plus rate,pp,0.042876980260377784,8.0,10,0.8
ATL,arr,nas_delay_per_scheduled_op,NAS delay,min,4.029272029947969,8.0,10,0.8
BOS,arr,scheduled_ops,Scheduled ops/day,ops,-20.733098177543468,2.0,10,0.2
BOS,arr,cancel_rate,Cancellation rate,pp,0.004560399761157677,6.0,10,0.6
BOS,arr,delay15_rate,Delay-15-plus rate,pp,0.05182148063021136,10.0,10,1.0
BOS,arr,nas_delay_per_scheduled_op,NAS delay,min,5.819743731846497,10.0,10,1.0
BWI,arr,scheduled_ops,Scheduled ops/day,ops,1.685479129924598,8.0,10,0.8
BWI,arr,cancel_rate,Cancellation rate,pp,0.007724968529347772,10.0,10,1.0
BWI,arr,delay15_rate,Delay-15-plus rate,pp,0.029466309864373527,7.0,10,0.7
BWI,arr,nas_delay_per_scheduled_op,NAS delay,min,3.3280875289639136,7.0,10,0.7
DCA,arr,scheduled_ops,Scheduled ops/day,ops,-10.985890652557051,3.0,10,0.3
DCA,arr,cancel_rate,Cancellation rate,pp,0.004686821051676716,7.0,10,0.7
DCA,arr,delay15_rate,Delay-15-plus rate,pp,-0.0010669568810476628,4.0,10,0.4
DCA,arr,nas_delay_per_scheduled_op,NAS delay,min,1.7864265939910402,5.0,10,0.5
EWR,arr,scheduled_ops,Scheduled ops/day,ops,-37.36919459141744,1.0,10,0.1
EWR,arr,cancel_rate,Cancellation rate,pp,-0.031022456093412594,1.0,10,0.1
EWR,arr,delay15_rate,Delay-15-plus rate,pp,-0.16015916468851027,1.0,10,0.1
EWR,arr,nas_delay_per_scheduled_op,NAS delay,min,-23.87749198190363,1.0,10,0.1
IAD,arr,scheduled_ops,Scheduled ops/day,ops,-0.32980599647300934,7.0,10,0.7
IAD,arr,cancel_rate,Cancellation rate,pp,0.005707906558739199,8.0,10,0.8
IAD,arr,delay15_rate,Delay-15-plus rate,pp,-0.0008349388121254835,5.0,10,0.5
IAD,arr,nas_delay_per_scheduled_op,NAS delay,min,2.723507949571506,6.0,10,0.6
JFK,arr,scheduled_ops,Scheduled ops/day,ops,-2.977660199882534,6.0,10,0.6
JFK,arr,cancel_rate,Cancellation rate,pp,0.004178683283540379,5.0,10,0.5
JFK,arr,delay15_rate,Delay-15-plus rate,pp,-0.008089204163875447,3.0,10,0.3
JFK,arr,nas_delay_per_scheduled_op,NAS delay,min,0.5912951776147843,3.0,10,0.3
LGA,arr,scheduled_ops,Scheduled ops/day,ops,-9.875955320399934,4.0,10,0.4
LGA,arr,cancel_rate,Cancellation rate,pp,0.002223125160769258,4.0,10,0.4
LGA,arr,delay15_rate,Delay-15-plus rate,pp,-0.012971378190924313,2.0,10,0.2
LGA,arr,nas_delay_per_scheduled_op,NAS delay,min,-0.3198130076710708,2.0,10,0.2
ORD,arr,scheduled_ops,Scheduled ops/day,ops,57.99588477366224,10.0,10,1.0
ORD,arr,cancel_rate,Cancellation rate,pp,0.0014802884738706042,3.0,10,0.3
ORD,arr,delay15_rate,Delay-15-plus rate,pp,0.05077677706550199,9.0,10,0.9
ORD,arr,nas_delay_per_scheduled_op,NAS delay,min,4.180975328880112,9.0,10,0.9
PHL,arr,scheduled_ops,Scheduled ops/day,ops,-6.790711346267473,5.0,10,0.5
PHL,arr,cancel_rate,Cancellation rate,pp,-0.007083347873609045,2.0,10,0.2
PHL,arr,delay15_rate,Delay-15-plus rate,pp,0.004678660061532785,6.0,10,0.6
PHL,arr,nas_delay_per_scheduled_op,NAS delay,min,1.2158082462675897,4.0,10,0.4
ATL,dep,scheduled_ops,Scheduled ops/day,ops,30.03539094650128,9.0,10,0.9
ATL,dep,cancel_rate,Cancellation rate,pp,0.008134005975365498,7.0,10,0.7
ATL,dep,delay15_rate,Delay-15-plus rate,pp,0.054079156075837305,9.0,10,0.9
ATL,dep,nas_delay_per_scheduled_op,NAS delay,min,-1.2360641726472243,2.0,10,0.2
BOS,dep,scheduled_ops,Scheduled ops/day,ops,-20.667724867725372,2.0,10,0.2
BOS,dep,cancel_rate,Cancellation rate,pp,0.0037438909442839294,5.0,10,0.5
BOS,dep,delay15_rate,Delay-15-plus rate,pp,0.006761967859268721,6.0,10,0.6
BOS,dep,nas_delay_per_scheduled_op,NAS delay,min,-0.17361728218886985,4.0,10,0.4
BWI,dep,scheduled_ops,Scheduled ops/day,ops,1.6591416813649453,8.0,10,0.8
BWI,dep,cancel_rate,Cancellation rate,pp,0.009688782756557338,10.0,10,1.0
BWI,dep,delay15_rate,Delay-15-plus rate,pp,0.024340989143516133,7.0,10,0.7
BWI,dep,nas_delay_per_scheduled_op,NAS delay,min,1.5375941861706652,9.0,10,0.9
DCA,dep,scheduled_ops,Scheduled ops/day,ops,-10.737095825984625,3.0,10,0.3
DCA,dep,cancel_rate,Cancellation rate,pp,0.008376081133739671,8.0,10,0.8
DCA,dep,delay15_rate,Delay-15-plus rate,pp,0.002694517379843291,4.0,10,0.4
DCA,dep,nas_delay_per_scheduled_op,NAS delay,min,0.47147695951881563,6.0,10,0.6
EWR,dep,scheduled_ops,Scheduled ops/day,ops,-37.69417989418065,1.0,10,0.1
EWR,dep,cancel_rate,Cancellation rate,pp,-0.046196294737099255,1.0,10,0.1
EWR,dep,delay15_rate,Delay-15-plus rate,pp,-0.1565070173625127,1.0,10,0.1
EWR,dep,nas_delay_per_scheduled_op,NAS delay,min,-3.653424839886443,1.0,10,0.1
IAD,dep,scheduled_ops,Scheduled ops/day,ops,-0.43256907701378555,7.0,10,0.7
IAD,dep,cancel_rate,Cancellation rate,pp,0.003333520791835072,4.0,10,0.4
IAD,dep,delay15_rate,Delay-15-plus rate,pp,-0.006473316190988418,3.0,10,0.3
IAD,dep,nas_delay_per_scheduled_op,NAS delay,min,-0.5822300022809624,3.0,10,0.3
JFK,dep,scheduled_ops,Scheduled ops/day,ops,-3.2109347442682763,6.0,10,0.6
JFK,dep,cancel_rate,Cancellation rate,pp,0.008994047642118377,9.0,10,0.9
JFK,dep,delay15_rate,Delay-15-plus rate,pp,0.02785746142315714,8.0,10,0.8
JFK,dep,nas_delay_per_scheduled_op,NAS delay,min,0.892910993246253,7.0,10,0.7
LGA,dep,scheduled_ops,Scheduled ops/day,ops,-10.57601410934749,4.0,10,0.4
LGA,dep,cancel_rate,Cancellation rate,pp,-0.0010704040003632733,3.0,10,0.3
LGA,dep,delay15_rate,Delay-15-plus rate,pp,-0.013659191928948195,2.0,10,0.2
LGA,dep,nas_delay_per_scheduled_op,NAS delay,min,1.246559073744086,8.0,10,0.8
ORD,dep,scheduled_ops,Scheduled ops/day,ops,58.416343327453674,10.0,10,1.0
ORD,dep,cancel_rate,Cancellation rate,pp,0.00625294577619619,6.0,10,0.6
ORD,dep,delay15_rate,Delay-15-plus rate,pp,0.05445515310884606,10.0,10,1.0
ORD,dep,nas_delay_per_scheduled_op,NAS delay,min,-0.09820431104453659,5.0,10,0.5
PHL,dep,scheduled_ops,Scheduled ops/day,ops,-6.792357436802249,5.0,10,0.5
PHL,dep,cancel_rate,Cancellation rate,pp,-0.0012007182259470787,2.0,10,0.2
PHL,dep,delay15_rate,Delay-15-plus rate,pp,0.006646401418660907,5.0,10,0.5
PHL,dep,nas_delay_per_scheduled_op,NAS delay,min,1.5960708686723166,10.0,10,1.0
