placebo,side,metric,metric_label,unit,coef
Jan 15--Feb 10,arr,scheduled_ops,Scheduled ops/day,ops,-8.707818930041762
Jan 15--Feb 10,arr,cancel_rate,Cancellation rate,pp,0.004298438607853652
Jan 15--Feb 10,arr,delay15_rate,Delay-15-plus rate,pp,-0.0006456744783962
Jan 15--Feb 10,arr,nas_delay_per_scheduled_op,NAS delay,min,1.290466041587634
Jan 15--Feb 10,dep,scheduled_ops,Scheduled ops/day,ops,-8.79835390946554
Jan 15--Feb 10,dep,cancel_rate,Cancellation rate,pp,-0.0056934366750371794
Jan 15--Feb 10,dep,delay15_rate,Delay-15-plus rate,pp,-0.030898871881858782
Jan 15--Feb 10,dep,nas_delay_per_scheduled_op,NAS delay,min,-0.9463885252498634
Feb 12--Mar 18,arr,scheduled_ops,Scheduled ops/day,ops,-28.50464432686713
Feb 12--Mar 18,arr,cancel_rate,Cancellation rate,pp,0.0026791036472136624
Feb 12--Mar 18,arr,delay15_rate,Delay-15-plus rate,pp,0.010200159130336362
Feb 12--Mar 18,arr,nas_delay_per_scheduled_op,NAS delay,min,-0.24229371333679606
Feb 12--Mar 18,dep,scheduled_ops,Scheduled ops/day,ops,-28.225514403292877
Feb 12--Mar 18,dep,cancel_rate,Cancellation rate,pp,0.002048013943665629
Feb 12--Mar 18,dep,delay15_rate,Delay-15-plus rate,pp,-0.005224060235140162
Feb 12--Mar 18,dep,nas_delay_per_scheduled_op,NAS delay,min,-0.24945079348690768
Mar 1--Mar 27,arr,scheduled_ops,Scheduled ops/day,ops,-31.506172839506092
Mar 1--Mar 27,arr,cancel_rate,Cancellation rate,pp,-0.00574375218598336
Mar 1--Mar 27,arr,delay15_rate,Delay-15-plus rate,pp,-0.03904832471748008
Mar 1--Mar 27,arr,nas_delay_per_scheduled_op,NAS delay,min,-0.358211543411178
Mar 1--Mar 27,dep,scheduled_ops,Scheduled ops/day,ops,-30.92181069958826
Mar 1--Mar 27,dep,cancel_rate,Cancellation rate,pp,-0.002043258050954842
Mar 1--Mar 27,dep,delay15_rate,Delay-15-plus rate,pp,-0.02629611373971742
Mar 1--Mar 27,dep,nas_delay_per_scheduled_op,NAS delay,min,0.090901439566302
