carrier_group,side,period,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,counterpart_airports,days,ops_per_day,cancelled_ops_per_day,delay15_ops_per_day,nas_delay_minutes_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
Other carriers,arr,pre_20250101_0414,14830,14540,290.0,3102.0,84945.0,62,104,142.59615384615384,2.7884615384615383,29.826923076923077,816.7788461538462,0.019554956169925825,0.21334250343878955,5.727916385704653
Other carriers,arr,stress_20250415_0519,4537,4159,378.0,2097.0,189423.0,60,35,129.62857142857143,10.8,59.91428571428571,5412.085714285714,0.08331496583645581,0.5042077422457322,41.750716332378225
Other carriers,arr,interim_20250520_0615,3609,3591,18.0,991.0,40447.0,65,27,133.66666666666666,0.6666666666666666,36.7037037037037,1498.037037037037,0.004987531172069825,0.2759676970203286,11.207259628706012
Other carriers,arr,cap_20250616_1025,20600,19838,762.0,5550.0,269942.0,69,132,156.06060606060606,5.7727272727272725,42.04545454545455,2045.0151515151515,0.036990291262135926,0.27976610545417885,13.103980582524272
Other carriers,arr,extension_20251026_1231,10026,9473,553.0,2780.0,103916.0,61,67,149.6417910447761,8.253731343283581,41.492537313432834,1550.9850746268658,0.05515659285856772,0.29346563918505225,10.364651905046879
Other carriers,dep,pre_20250101_0414,14828,14536,292.0,2548.0,60030.0,61,104,142.57692307692307,2.8076923076923075,24.5,577.2115384615385,0.019692473698408416,0.17528893780957622,4.04842190450499
Other carriers,dep,stress_20250415_0519,4534,4139,395.0,1427.0,61029.0,59,35,129.54285714285714,11.285714285714286,40.77142857142857,1743.6857142857143,0.08711954124393471,0.3447692679391157,13.46029995588884
Other carriers,dep,interim_20250520_0615,3610,3586,24.0,706.0,21717.0,65,27,133.7037037037037,0.8888888888888888,26.14814814814815,804.3333333333334,0.006648199445983379,0.19687674288901283,6.015789473684211
Other carriers,dep,cap_20250616_1025,20603,19828,775.0,4378.0,120215.0,70,132,156.08333333333334,5.871212121212121,33.166666666666664,910.719696969697,0.03761588118235208,0.22079887028444622,5.834829879143814
Other carriers,dep,extension_20251026_1231,9964,9401,563.0,2270.0,67388.0,61,67,148.71641791044777,8.402985074626866,33.88059701492537,1005.7910447761194,0.0565034122842232,0.24146367407722583,6.763147330389402
United,arr,pre_20250101_0414,19943,19757,186.0,3611.0,88934.0,57,104,191.7596153846154,1.7884615384615385,34.72115384615385,855.1346153846154,0.009326580755152183,0.18277066356228172,4.459409316552174
United,arr,stress_20250415_0519,6119,5941,178.0,2639.0,243194.0,51,35,174.82857142857142,5.085714285714285,75.4,6948.4,0.029089720542572316,0.4442013129102845,39.74407582938389
United,arr,interim_20250520_0615,3850,3834,16.0,913.0,37776.0,53,27,142.59259259259258,0.5925925925925926,33.81481481481482,1399.111111111111,0.004155844155844156,0.238132498695879,9.811948051948052
United,arr,cap_20250616_1025,23620,23201,419.0,6489.0,325799.0,53,132,178.93939393939394,3.1742424242424243,49.15909090909091,2468.1742424242425,0.017739204064352244,0.27968622042153357,13.793353090601185
United,arr,extension_20251026_1231,13210,12947,263.0,3614.0,169322.0,58,67,197.16417910447763,3.925373134328358,53.940298507462686,2527.194029850746,0.019909159727479184,0.27913802425272266,12.817713853141559
United,dep,pre_20250101_0414,19943,19796,147.0,3679.0,75503.0,57,104,191.7596153846154,1.4134615384615385,35.375,725.9903846153846,0.007371007371007371,0.18584562537886443,3.7859399287970716
United,dep,stress_20250415_0519,6129,5953,176.0,1766.0,34513.0,50,35,175.11428571428573,5.0285714285714285,50.457142857142856,986.0857142857143,0.02871594061021374,0.2966571476566437,5.631098058410834
United,dep,interim_20250520_0615,3847,3841,6.0,613.0,18558.0,53,27,142.4814814814815,0.2222222222222222,22.703703703703702,687.3333333333334,0.0015596568754873928,0.1595938557667274,4.824018715882506
United,dep,cap_20250616_1025,23622,23232,390.0,5604.0,127970.0,54,132,178.95454545454547,2.9545454545454546,42.45454545454545,969.469696969697,0.01651003302006604,0.2412190082644628,5.417407501481669
United,dep,extension_20251026_1231,13206,12946,260.0,3277.0,84051.0,59,67,197.1044776119403,3.8805970149253732,48.91044776119403,1254.4925373134329,0.01968802059669847,0.25312837942221533,6.364606996819627
