side,period,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,counterpart_airports,days,ops_per_day,cancelled_ops_per_day,delay15_ops_per_day,nas_delay_minutes_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op,avg_daily_active_counterparts,weekly_service_markets,daily_service_markets
arr,pre_20250101_0414,34773,34297,476.0,6713.0,173879.0,76,104,334.3557692307692,4.576923076923077,64.54807692307692,1671.9134615384614,0.013688781525896528,0.19573140507916145,5.00040261122135,64.8076923076923,72,57
arr,stress_20250415_0519,10656,10100,556.0,4736.0,432617.0,70,35,304.45714285714286,15.885714285714286,135.31428571428572,12360.485714285714,0.052177177177177174,0.4689108910891089,40.598442192192195,63.285714285714285,68,59
arr,interim_20250520_0615,7459,7425,34.0,1904.0,78223.0,75,27,276.25925925925924,1.2592592592592593,70.51851851851852,2897.1481481481483,0.00455825177637753,0.25643097643097645,10.487062608928811,68.14814814814815,75,60
arr,cap_20250616_1025,44220,43039,1181.0,12039.0,595741.0,80,132,335.0,8.946969696969697,91.20454545454545,4513.189393939394,0.02670737222976029,0.2797230418922373,13.472207146087744,66.31060606060606,74,61
arr,extension_20251026_1231,23236,22420,816.0,6394.0,273238.0,76,67,346.8059701492537,12.17910447761194,95.43283582089552,4078.179104477612,0.03511792046823894,0.2851917930419269,11.759252883456705,63.791044776119406,74,60
dep,pre_20250101_0414,34771,34332,439.0,6227.0,135533.0,75,104,334.33653846153845,4.221153846153846,59.875,1303.201923076923,0.012625463748526071,0.18137597576604916,3.8978746656696672,64.29807692307692,71,58
dep,stress_20250415_0519,10663,10092,571.0,3193.0,95542.0,69,35,304.65714285714284,16.314285714285713,91.22857142857143,2729.7714285714287,0.0535496576948326,0.3163892191835117,8.960142549001219,62.2,67,58
dep,interim_20250520_0615,7457,7427,30.0,1319.0,40275.0,75,27,276.18518518518516,1.1111111111111112,48.851851851851855,1491.6666666666667,0.004023065575968888,0.1775952605358826,5.400965535738233,67.55555555555556,74,60
dep,cap_20250616_1025,44225,43060,1165.0,9982.0,248185.0,81,132,335.0378787878788,8.825757575757576,75.62121212121212,1880.189393939394,0.02634256642170718,0.23181607059916395,5.611871113623516,66.53787878787878,74,61
dep,extension_20251026_1231,23170,22347,823.0,5547.0,151439.0,76,67,345.82089552238807,12.283582089552239,82.7910447761194,2260.283582089552,0.03552006905481226,0.24822123775003357,6.535994820889081,63.35820895522388,74,59
