carrier,carrier_name,side,stress_ops_per_day,interim_ops_per_day,delta_ops_per_day,delta_cancel_rate,delta_delay15_rate,delta_nas_delay_per_scheduled_op
AA,AA,arr,15.914285714285715,16.666666666666668,0.7523809523809533,-0.035052862557350885,-0.160668391188251,-22.325669259924197
AA,AA,dep,15.914285714285715,16.703703703703702,0.7894179894179878,-0.034218791673798904,-0.11847169581659675,-1.787569613904071
AS,AS,arr,9.685714285714285,9.851851851851851,0.16613756613756614,-0.002661521059285382,-0.20836485340302133,-49.55051345177102
AS,AS,dep,9.685714285714285,9.851851851851851,0.16613756613756614,-0.0018519750704194121,-0.2512232839403591,-3.356577283917759
B6,B6,arr,15.571428571428571,16.074074074074073,0.5026455026455015,-0.025688073394495414,-0.24600137120640125,-25.411440409250414
B6,B6,dep,15.485714285714286,16.0,0.5142857142857142,-0.04059040590405904,-0.096011396011396,-2.6989459477928106
DL,DL,arr,17.228571428571428,17.444444444444443,0.2158730158730151,-0.008555946382736001,-0.29390054390054393,-43.19187501980543
DL,DL,dep,17.228571428571428,17.444444444444443,0.2158730158730151,-0.004309661881674431,-0.21066892096935017,-2.7928087798797936
F9,F9,arr,3.0,3.0,0.0,-0.013403880070546742,-0.0932447675147261,-16.87936507936508
F9,F9,dep,3.0,3.0,0.0,-0.010582010582010581,-0.21076923076923076,-1.5206349206349206
NK,NK,arr,24.17142857142857,23.22222222222222,-0.9492063492063494,-0.06572443358557581,-0.25596712026254714,-41.487862952028685
NK,NK,dep,24.2,23.22222222222222,-0.9777777777777779,-0.07036185505085027,-0.1908819218943073,-28.058099794941903
UA,UA,arr,174.82857142857142,142.59259259259258,-32.23597883597884,-0.02493387638672816,-0.20606881421440548,-29.932127777435838
UA,UA,dep,175.11428571428573,142.4814814814815,-32.63280423280423,-0.027156283734726346,-0.13706329188991628,-0.8070793425283282
YX,YX,arr,39.94285714285714,42.111111111111114,2.168253968253971,-0.17007900468441534,-0.1963643378823415,-21.30989615772249
YX,YX,dep,39.91428571428571,42.18518518518518,2.2708994708994723,-0.17020292449077196,-0.06848969953043094,-2.528384855795971
