airport,period,days,advisory_days,gdp_days,ground_stop_days,arrival_delay_days,departure_delay_days,advisories,gdp_advisories,ground_stop_advisories,advisory_days_share,gdp_days_share,ground_stop_days_share,arrival_delay_days_share,departure_delay_days_share
ATL,early_interim,14,3,1,2,3,0,13,1,5,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.0
ATL,late_interim,13,7,1,6,2,0,37,2,21,0.5384615384615384,0.07692307692307693,0.46153846153846156,0.15384615384615385,0.0
ATL,reference,28,5,0,5,2,0,23,0,14,0.17857142857142858,0.0,0.17857142857142858,0.07142857142857142,0.0
ATL,stress,35,9,1,4,5,0,26,2,7,0.2571428571428571,0.02857142857142857,0.11428571428571428,0.14285714285714285,0.0
BOS,early_interim,14,10,6,3,1,0,31,7,6,0.7142857142857143,0.42857142857142855,0.21428571428571427,0.07142857142857142,0.0
BOS,late_interim,13,7,5,4,1,0,28,5,9,0.5384615384615384,0.38461538461538464,0.3076923076923077,0.07692307692307693,0.0
BOS,reference,28,12,5,3,2,0,27,6,4,0.42857142857142855,0.17857142857142858,0.10714285714285714,0.07142857142857142,0.0
BOS,stress,35,15,9,7,5,0,62,11,15,0.42857142857142855,0.2571428571428571,0.2,0.14285714285714285,0.0
BWI,early_interim,14,2,0,2,0,0,5,0,3,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0
BWI,late_interim,13,6,0,6,0,0,22,0,14,0.46153846153846156,0.0,0.46153846153846156,0.0,0.0
BWI,reference,28,1,0,0,1,0,1,0,0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0
BWI,stress,35,8,1,4,2,0,20,1,11,0.22857142857142856,0.02857142857142857,0.11428571428571428,0.05714285714285714,0.0
DCA,early_interim,14,13,5,8,10,0,54,5,15,0.9285714285714286,0.35714285714285715,0.5714285714285714,0.7142857142857143,0.0
DCA,late_interim,13,13,6,10,10,1,71,8,28,1.0,0.46153846153846156,0.7692307692307693,0.7692307692307693,0.07692307692307693
DCA,reference,28,27,5,19,23,0,101,5,25,0.9642857142857143,0.17857142857142858,0.6785714285714286,0.8214285714285714,0.0
DCA,stress,35,33,17,26,27,0,170,20,50,0.9428571428571428,0.4857142857142857,0.7428571428571429,0.7714285714285715,0.0
EWR,early_interim,14,9,7,5,2,1,37,11,7,0.6428571428571429,0.5,0.35714285714285715,0.14285714285714285,0.07142857142857142
EWR,late_interim,13,6,2,3,1,0,18,2,7,0.46153846153846156,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.0
EWR,reference,28,15,10,12,6,0,73,13,24,0.5357142857142857,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.0
EWR,stress,35,35,32,22,14,1,229,67,50,1.0,0.9142857142857143,0.6285714285714286,0.4,0.02857142857142857
IAD,early_interim,14,2,0,1,1,0,6,0,2,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.0
IAD,late_interim,13,4,0,3,2,0,21,0,11,0.3076923076923077,0.0,0.23076923076923078,0.15384615384615385,0.0
IAD,reference,28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
IAD,stress,35,10,1,7,4,0,29,2,15,0.2857142857142857,0.02857142857142857,0.2,0.11428571428571428,0.0
JFK,early_interim,14,5,2,2,0,0,11,3,2,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.0,0.0
JFK,late_interim,13,8,5,5,1,0,27,6,8,0.6153846153846154,0.38461538461538464,0.38461538461538464,0.07692307692307693,0.0
JFK,reference,28,8,5,5,1,0,24,5,6,0.2857142857142857,0.17857142857142858,0.17857142857142858,0.03571428571428571,0.0
JFK,stress,35,18,10,7,2,0,54,11,15,0.5142857142857142,0.2857142857142857,0.2,0.05714285714285714,0.0
LGA,early_interim,14,3,1,2,1,0,7,1,2,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0
LGA,late_interim,13,3,2,3,1,0,21,2,10,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.0
LGA,reference,28,8,2,5,1,0,20,3,8,0.2857142857142857,0.07142857142857142,0.17857142857142858,0.03571428571428571,0.0
LGA,stress,35,15,9,7,1,0,83,16,36,0.42857142857142855,0.2571428571428571,0.2,0.02857142857142857,0.0
ORD,early_interim,14,3,1,2,2,0,8,1,2,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0
ORD,late_interim,13,7,3,4,3,0,24,4,6,0.5384615384615384,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.0
ORD,reference,28,7,3,6,5,2,61,6,26,0.25,0.10714285714285714,0.21428571428571427,0.17857142857142858,0.07142857142857142
ORD,stress,35,9,2,6,6,0,25,2,10,0.2571428571428571,0.05714285714285714,0.17142857142857143,0.17142857142857143,0.0
PHL,early_interim,14,9,2,3,7,0,19,2,3,0.6428571428571429,0.14285714285714285,0.21428571428571427,0.5,0.0
PHL,late_interim,13,11,2,5,7,0,33,2,10,0.8461538461538461,0.15384615384615385,0.38461538461538464,0.5384615384615384,0.0
PHL,reference,28,13,2,4,11,0,34,2,5,0.4642857142857143,0.07142857142857142,0.14285714285714285,0.39285714285714285,0.0
PHL,stress,35,16,10,5,9,0,62,10,15,0.45714285714285713,0.2857142857142857,0.14285714285714285,0.2571428571428571,0.0
