side,carrier_group,metric,metric_label,unit,scale,ewr_change,control_change,did,scaled_ewr_change,scaled_control_change,scaled_did
arr,United,scheduled_ops,Scheduled operations,ops/day,1.0,-32.23597883597884,-0.3121693121693099,-31.92380952380953,-32.23597883597884,-0.3121693121693099,-31.92380952380953
arr,United,cancel_rate,Cancellation rate,pp,100.0,-0.024347108935448263,-0.0007289524332726636,-0.0236181565021756,-2.4347108935448265,-0.07289524332726635,-2.3618156502175602
arr,United,delay15_rate,Delay-15-plus rate,pp,100.0,-0.20888538998281653,0.0013032457527962227,-0.21018863573561275,-20.888538998281653,0.13032457527962227,-21.018863573561276
arr,United,nas_delay_per_scheduled_op,NAS delay,min/op,1.0,-29.575766628744738,-1.111125369774176,-28.464641258970563,-29.575766628744738,-1.111125369774176,-28.464641258970563
arr,Other carriers,scheduled_ops,Scheduled operations,ops/day,1.0,4.038095238095224,9.448794826572566,-5.410699588477343,4.038095238095224,9.448794826572566,-5.410699588477343
arr,Other carriers,cancel_rate,Cancellation rate,pp,100.0,-0.07521478843685947,-0.0013527465848177968,-0.07386204185204168,-7.521478843685947,-0.13527465848177966,-7.386204185204168
arr,Other carriers,delay15_rate,Delay-15-plus rate,pp,100.0,-0.23409240699765316,0.0051423130907646275,-0.23923472008841778,-23.409240699765316,0.5142313090764628,-23.923472008841777
arr,Other carriers,nas_delay_per_scheduled_op,NAS delay,min/op,1.0,-29.8138324412462,-0.609504422233214,-29.204328019012983,-29.8138324412462,-0.609504422233214,-29.204328019012983
dep,United,scheduled_ops,Scheduled operations,ops/day,1.0,-32.63280423280423,-0.36957671957671323,-32.26322751322752,-32.63280423280423,-0.36957671957671323,-32.26322751322752
dep,United,cancel_rate,Cancellation rate,pp,100.0,-0.026523491206256165,-0.0013704398210001838,-0.025153051385255983,-2.6523491206256167,-0.1370439821000184,-2.5153051385255982
dep,United,delay15_rate,Delay-15-plus rate,pp,100.0,-0.13911033770267545,6.060286366862955e-05,-0.13917094056634408,-13.911033770267544,0.006060286366862955,-13.917094056634408
dep,United,nas_delay_per_scheduled_op,NAS delay,min/op,1.0,-0.8106757347941427,-0.21080192312469137,-0.5998738116694513,-0.8106757347941427,-0.21080192312469137,-0.5998738116694513
dep,Other carriers,scheduled_ops,Scheduled operations,ops/day,1.0,4.160846560846551,9.550734861845967,-5.3898883009994165,4.160846560846551,9.550734861845967,-5.3898883009994165
dep,Other carriers,cancel_rate,Cancellation rate,pp,100.0,-0.07723329871094876,-0.0017054098161435778,-0.07552788889480519,-7.723329871094877,-0.17054098161435777,-7.552788889480519
dep,Other carriers,delay15_rate,Delay-15-plus rate,pp,100.0,-0.15302535347224452,0.01892614726402872,-0.17195150073627324,-15.302535347224453,1.892614726402872,-17.195150073627325
dep,Other carriers,nas_delay_per_scheduled_op,NAS delay,min/op,1.0,-7.26195424248672,0.36144992961823874,-7.623404172104959,-7.26195424248672,0.36144992961823874,-7.623404172104959
