model,outcome,outcome_label,unit,pressure,pressure_label,increment,coef,se,ci_low,ci_high,scaled_coef,scaled_ci_low,scaled_ci_high,nobs
airport_date_side_fe,delay15_rate,Delay-15-plus rate,pp,avg_ops_per_hour,Mean scheduled operations/hour,5.0,0.0038525114623651803,0.0009858263408714487,0.001920291834257141,0.00578473109047322,1.92625573118259,0.9601459171285704,2.89236554523661,9000
airport_date_side_fe,nas_delay_per_scheduled_op,NAS delay,min/op,avg_ops_per_hour,Mean scheduled operations/hour,5.0,0.01776297247978946,0.05972499428342819,-0.09929801631572978,0.1348239612753087,0.0888148623989473,-0.4964900815786489,0.6741198063765436,9000
airport_date_side_fe,delay15_rate,Delay-15-plus rate,pp,p95_ops_per_hour,P95 scheduled operations/hour,5.0,0.0005946795796273698,0.000413925803508954,-0.00021661499525018008,0.0014059741545049196,0.2973397898136849,-0.10830749762509002,0.7029870772524599,9000
airport_date_side_fe,nas_delay_per_scheduled_op,NAS delay,min/op,p95_ops_per_hour,P95 scheduled operations/hour,5.0,-0.020524475956153605,0.02500929254110832,-0.06954268933672592,0.028493737424418703,-0.10262237978076802,-0.3477134466836296,0.1424686871220935,9000
airport_date_side_fe,delay15_rate,Delay-15-plus rate,pp,share_above_28,Share of hours above 28,0.1,0.035084199951725625,0.017249001550077234,0.0012761569135742445,0.068892242989877,0.3508419995172563,0.012761569135742447,0.6889224298987701,9000
airport_date_side_fe,nas_delay_per_scheduled_op,NAS delay,min/op,share_above_28,Share of hours above 28,0.1,-1.3761174085941894,0.9025938109162926,-3.145201277990123,0.39296646080174424,-0.13761174085941894,-0.31452012779901234,0.03929664608017443,9000
airport_date_side_fe,delay15_rate,Delay-15-plus rate,pp,share_above_34,Share of hours above 34,0.1,0.035690299514141655,0.019128472685101715,-0.0018015069486577093,0.07318210597694103,0.3569029951414166,-0.018015069486577096,0.7318210597694103,9000
airport_date_side_fe,nas_delay_per_scheduled_op,NAS delay,min/op,share_above_34,Share of hours above 34,0.1,-1.94910808447574,1.0723080634235478,-4.050831888785893,0.1526157198344138,-0.19491080844757402,-0.40508318887858935,0.01526157198344138,9000
airport_date_side_fe_station_weather,delay15_rate,Delay-15-plus rate,pp,avg_ops_per_hour,Mean scheduled operations/hour,5.0,0.0035864038497629563,0.0016997053773866206,0.00025498131008518023,0.0069178263894407324,1.7932019248814781,0.1274906550425901,3.4589131947203664,1780
airport_date_side_fe_station_weather,nas_delay_per_scheduled_op,NAS delay,min/op,avg_ops_per_hour,Mean scheduled operations/hour,5.0,-0.2322597227635298,0.12390930667848736,-0.475121963853365,0.010602518326305432,-1.161298613817649,-2.375609819266825,0.05301259163152716,1780
airport_date_side_fe_station_weather,delay15_rate,Delay-15-plus rate,pp,p95_ops_per_hour,P95 scheduled operations/hour,5.0,-0.0008508282350836923,0.0006857067983416005,-0.002194813559833229,0.0004931570896658447,-0.42541411754184616,-1.0974067799166145,0.24657854483292235,1780
airport_date_side_fe_station_weather,nas_delay_per_scheduled_op,NAS delay,min/op,p95_ops_per_hour,P95 scheduled operations/hour,5.0,-0.25800523781605855,0.06057591851381014,-0.37673403810312645,-0.1392764375289907,-1.2900261890802929,-1.8836701905156321,-0.6963821876449534,1780
airport_date_side_fe_station_weather,delay15_rate,Delay-15-plus rate,pp,share_above_28,Share of hours above 28,0.1,0.08669359908157441,0.04139684889557381,0.005555775246249742,0.16783142291689906,0.8669359908157441,0.055557752462497424,1.6783142291689905,1780
airport_date_side_fe_station_weather,nas_delay_per_scheduled_op,NAS delay,min/op,share_above_28,Share of hours above 28,0.1,-1.469573996274275,2.763433998900742,-6.885904634119729,3.946756641571179,-0.14695739962742752,-0.6885904634119729,0.3946756641571179,1780
airport_date_side_fe_station_weather,delay15_rate,Delay-15-plus rate,pp,share_above_34,Share of hours above 34,0.1,0.04518894703715376,0.03818904383653556,-0.029661578882455936,0.12003947295676345,0.4518894703715376,-0.2966157888245594,1.2003947295676345,1780
airport_date_side_fe_station_weather,nas_delay_per_scheduled_op,NAS delay,min/op,share_above_34,Share of hours above 34,0.1,-1.5452548130708186,3.155705227995775,-7.730437059942537,4.6399274338009,-0.15452548130708188,-0.7730437059942538,0.46399274338009006,1780
