side,metric,metric_label,unit,phase,coef,se,ci_low,ci_high,weather_control
arr,scheduled_ops,Scheduled ops/day,ops,Stress,-31.030029154519667,3.845656782531293,-38.567516448281,-23.492541860758333,False
arr,scheduled_ops,Scheduled ops/day,ops,May 20--Jun 2,-58.11224489795899,4.066377325590214,-66.0823444561158,-50.14214533980217,False
arr,scheduled_ops,Scheduled ops/day,ops,Jun 3--Jun 15,-69.46815429468455,3.757502661735497,-76.83285951168612,-62.10344907768298,False
arr,cancel_rate,Cancellation rate,pp,Stress,0.043395925650216854,0.010328923107629976,0.0231512363592621,0.06364061494117161,False
arr,cancel_rate,Cancellation rate,pp,May 20--Jun 2,0.0011045500008132832,0.002436683519199772,-0.00367134969681827,0.005880449698444836,False
arr,cancel_rate,Cancellation rate,pp,Jun 3--Jun 15,-0.00465469162659083,0.0028440134587496856,-0.010228958005740214,0.0009195747525585531,False
arr,delay15_rate,Delay-15-plus rate,pp,Stress,0.2620192739034544,0.033877722886610465,0.1956189370456979,0.32841961076121096,False
arr,delay15_rate,Delay-15-plus rate,pp,May 20--Jun 2,0.1175078694144217,0.056647922213750444,0.006477941875470836,0.22853779695337256,False
arr,delay15_rate,Delay-15-plus rate,pp,Jun 3--Jun 15,-0.09716950704090455,0.023918165933612918,-0.14404911227078587,-0.050289901811023226,False
arr,nas_delay_per_scheduled_op,NAS delay,min/op,Stress,34.39185536531638,4.803694984621397,24.97661319545844,43.80709753517432,False
arr,nas_delay_per_scheduled_op,NAS delay,min/op,May 20--Jun 2,12.107081771516244,5.875486501645477,0.5911282282911099,23.62303531474138,False
arr,nas_delay_per_scheduled_op,NAS delay,min/op,Jun 3--Jun 15,-3.654762874625086,1.5207946329246083,-6.635520355157318,-0.6740053940928536,False
dep,scheduled_ops,Scheduled ops/day,ops,Stress,-30.736297376093987,3.8093702613444242,-38.20266308832906,-23.269931663858916,False
dep,scheduled_ops,Scheduled ops/day,ops,May 20--Jun 2,-57.74416909620949,4.019479736221641,-65.62234937920391,-49.865988813215075,False
dep,scheduled_ops,Scheduled ops/day,ops,Jun 3--Jun 15,-69.89027808925724,4.039458717744993,-77.80761717603743,-61.97293900247705,False
dep,cancel_rate,Cancellation rate,pp,Stress,0.045549196044849444,0.010672425324942244,0.024631242407962644,0.06646714968173624,False
dep,cancel_rate,Cancellation rate,pp,May 20--Jun 2,0.0007810756631893175,0.0028738630219421655,-0.004851695859817326,0.006413847186195962,False
dep,cancel_rate,Cancellation rate,pp,Jun 3--Jun 15,-0.0038055759741675464,0.003279245498362801,-0.010232897150958636,0.002621745202623544,False
dep,delay15_rate,Delay-15-plus rate,pp,Stress,0.13434233836844814,0.023443883509122767,0.08839232669056751,0.18029235004632876,False
dep,delay15_rate,Delay-15-plus rate,pp,May 20--Jun 2,0.00391242125347294,0.03428467468509383,-0.06328554112931097,0.07111038363625684,False
dep,delay15_rate,Delay-15-plus rate,pp,Jun 3--Jun 15,-0.08739787713399014,0.020471268958808086,-0.12752156429325398,-0.04727418997472629,False
dep,nas_delay_per_scheduled_op,NAS delay,min/op,Stress,4.414195628322274,1.0354566551248436,2.38470058427758,6.443690672366968,False
dep,nas_delay_per_scheduled_op,NAS delay,min/op,May 20--Jun 2,1.1496153342209379,1.2463074672849828,-1.2931473016576285,3.592377970099504,False
dep,nas_delay_per_scheduled_op,NAS delay,min/op,Jun 3--Jun 15,0.611727003492523,1.8762318038586687,-3.0656873320704676,4.289141339055513,False
