side,hour_group,metric,metric_label,unit,phase,coef,ci_low,ci_high
arr,Facilitated hours,avg_ops_per_hour,Scheduled ops/hour,ops,Stress,-1.9960898645172849,-2.4077128600641298,-1.5844668689704398
arr,Facilitated hours,avg_ops_per_hour,Scheduled ops/hour,ops,May 20--Jun 2,-3.1785285542788477,-3.577274289306138,-2.7797828192515572
arr,Facilitated hours,avg_ops_per_hour,Scheduled ops/hour,ops,Jun 3--Jun 15,-3.6005567061989403,-3.966762032723823,-3.2343513796740577
arr,Facilitated hours,p95_ops_per_hour,P95 scheduled ops/hour,ops,Stress,-3.6809620991254244,-4.673156450765477,-2.6887677474853717
arr,Facilitated hours,p95_ops_per_hour,P95 scheduled ops/hour,ops,May 20--Jun 2,-3.2599125364431463,-4.302549158343399,-2.2172759145428937
arr,Facilitated hours,p95_ops_per_hour,P95 scheduled ops/hour,ops,Jun 3--Jun 15,-3.9794236375868675,-4.932444489616396,-3.026402785557339
arr,Facilitated hours,share_above_28,Share above 28/hour,pp,Stress,-0.001809295146631396,-0.009956685430489429,0.006338095137226637
arr,Facilitated hours,share_above_28,Share above 28/hour,pp,May 20--Jun 2,-0.0029583261876187355,-0.01382487222140146,0.007908219846163989
arr,Facilitated hours,share_above_28,Share above 28/hour,pp,Jun 3--Jun 15,-0.001883170850757926,-0.012305085647181227,0.008538743945665376
arr,Facilitated hours,share_above_34,Share above 34/hour,pp,Stress,-0.0017321214199977094,-0.006074876963125846,0.002610634123130427
arr,Facilitated hours,share_above_34,Share above 34/hour,pp,May 20--Jun 2,-0.0028297033098961793,-0.008102867467769174,0.002443460847976816
arr,Facilitated hours,share_above_34,Share above 34/hour,pp,Jun 3--Jun 15,-0.003634420801287737,-0.009298633004339871,0.0020297914017643973
arr,Facilitated hours,delay15_rate,Delay-15-plus rate,pp,Stress,0.26576372795942366,0.1948319957655936,0.3366954601532537
arr,Facilitated hours,delay15_rate,Delay-15-plus rate,pp,May 20--Jun 2,0.12809068915291563,0.010033887260396127,0.24614749104543515
arr,Facilitated hours,delay15_rate,Delay-15-plus rate,pp,Jun 3--Jun 15,-0.09570476528016279,-0.14652601040217453,-0.04488352015815105
