airport,side,period,hour_group,hours,avg_ops_per_hour,p90_ops_per_hour,p95_ops_per_hour,max_ops_per_hour,share_above_28,share_above_34,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
ATL,arr,early_interim,Facilitated hours,238,49.69747899159664,69.30000000000001,78.14999999999998,82,0.907563025210084,0.8697478991596639,11828,11790.0,38.0,2120.0,30405.0,0.003212715590125127,0.179813401187447,2.5705951978356443
ATL,arr,early_interim,Other hours,98,5.816326530612245,19.0,23.0,24,0.0,0.0,570,567.0,3.0,150.0,1295.0,0.005263157894736842,0.26455026455026454,2.2719298245614037
ATL,arr,late_interim,Facilitated hours,221,51.58371040723982,70.0,84.0,90,0.9276018099547512,0.8733031674208145,11400,11286.0,114.0,2964.0,53298.0,0.01,0.26262626262626265,4.675263157894737
ATL,arr,late_interim,Other hours,91,5.5054945054945055,18.0,21.0,24,0.0,0.0,501,493.0,8.0,170.0,1382.0,0.015968063872255488,0.3448275862068966,2.758483033932136
ATL,arr,reference,Facilitated hours,476,47.89495798319328,72.0,76.25,83,0.8823529411764706,0.8592436974789915,22798,22506.0,292.0,4381.0,73464.0,0.012808141065005703,0.1946592019905803,3.222387928765681
ATL,arr,reference,Other hours,196,6.030612244897959,17.5,21.0,23,0.0,0.0,1182,1164.0,18.0,349.0,4132.0,0.015228426395939087,0.29982817869415807,3.495769881556684
ATL,arr,stress,Facilitated hours,595,48.680672268907564,68.0,79.0,84,0.8890756302521008,0.8756302521008403,28965,28877.0,88.0,5432.0,74890.0,0.003038149490764716,0.18810818298299684,2.585534265492836
ATL,arr,stress,Other hours,245,5.7877551020408164,17.599999999999994,21.799999999999983,26,0.0,0.0,1418,1403.0,15.0,418.0,4346.0,0.010578279266572637,0.29793300071275836,3.0648801128349787
ATL,dep,early_interim,Facilitated hours,238,51.3109243697479,67.30000000000001,70.14999999999998,74,0.9411764705882353,0.9369747899159664,12212,12180.0,32.0,2791.0,39363.0,0.0026203734032099572,0.22914614121510674,3.2233049459547987
ATL,dep,early_interim,Other hours,98,1.8979591836734695,9.0,9.0,9,0.0,0.0,186,184.0,2.0,39.0,187.0,0.010752688172043012,0.21195652173913043,1.0053763440860215
ATL,dep,late_interim,Facilitated hours,221,52.380090497737555,71.0,74.0,79,0.9411764705882353,0.9276018099547512,11576,11455.0,121.0,4066.0,59953.0,0.010452660677263304,0.3549541684853776,5.179077401520387
ATL,dep,late_interim,Other hours,91,3.6923076923076925,8.0,28.5,33,0.054945054945054944,0.0,336,330.0,6.0,173.0,952.0,0.017857142857142856,0.5242424242424243,2.8333333333333335
ATL,dep,reference,Facilitated hours,476,49.53991596638655,64.5,67.25,78,0.9285714285714286,0.9033613445378151,23581,23298.0,283.0,5768.0,85567.0,0.012001187396632883,0.2475748991329728,3.6286417030660276
ATL,dep,reference,Other hours,196,2.020408163265306,8.0,9.0,12,0.0,0.0,396,388.0,8.0,83.0,533.0,0.020202020202020204,0.21391752577319587,1.345959595959596
ATL,dep,stress,Facilitated hours,595,50.319327731092436,68.0,70.0,77,0.9361344537815126,0.9193277310924369,29940,29851.0,89.0,6954.0,145655.0,0.0029726118904475616,0.23295701986533116,4.864896459585839
ATL,dep,stress,Other hours,245,1.779591836734694,7.0,9.0,11,0.0,0.0,436,434.0,2.0,85.0,711.0,0.0045871559633027525,0.195852534562212,1.6307339449541285
AUS,arr,early_interim,Facilitated hours,238,12.941176470588236,19.0,20.0,22,0.0,0.0,3080,3064.0,16.0,817.0,17249.0,0.005194805194805195,0.266644908616188,5.600324675324675
AUS,arr,early_interim,Other hours,98,3.7142857142857144,19.0,22.0,22,0.0,0.0,364,360.0,4.0,123.0,2400.0,0.01098901098901099,0.3416666666666667,6.593406593406593
AUS,arr,late_interim,Facilitated hours,221,13.099547511312217,19.0,20.0,23,0.0,0.0,2895,2878.0,17.0,829.0,13593.0,0.0058721934369602765,0.288047255038221,4.6953367875647665
AUS,arr,late_interim,Other hours,91,4.428571428571429,18.0,21.0,23,0.0,0.0,403,398.0,5.0,156.0,1019.0,0.01240694789081886,0.39195979899497485,2.5285359801488836
AUS,arr,reference,Facilitated hours,476,12.569327731092438,18.0,19.0,22,0.0,0.0,5983,5936.0,47.0,1080.0,10584.0,0.007855590840715361,0.18194070080862534,1.7690122012368377
AUS,arr,reference,Other hours,196,3.9591836734693877,18.0,21.0,22,0.0,0.0,776,767.0,9.0,206.0,1879.0,0.011597938144329897,0.2685788787483703,2.4213917525773194
