treated_airport,side,metric,donor_airport,weight,scenario
EWR,arr,delay15_rate,JFK,0.34068004426869575,Baseline donor pool
EWR,arr,delay15_rate,LGA,0.31317340662021315,Baseline donor pool
EWR,arr,delay15_rate,CMH,0.10748903596189699,Baseline donor pool
EWR,arr,delay15_rate,PHL,0.08700408551073979,Baseline donor pool
EWR,arr,delay15_rate,BOS,0.054420518648578754,Baseline donor pool
EWR,arr,delay15_rate,DFW,0.052631408302136244,Baseline donor pool
EWR,arr,delay15_rate,DEN,0.041439003249622026,Baseline donor pool
EWR,arr,delay15_rate,DCA,0.0031624974381160155,Baseline donor pool
EWR,arr,delay15_rate,ATL,2.7326413756761787e-16,Baseline donor pool
EWR,arr,delay15_rate,PDX,1.6228075076829746e-16,Baseline donor pool
EWR,arr,delay15_rate,HNL,1.3035119642622918e-16,Baseline donor pool
EWR,arr,delay15_rate,DAL,1.1679186858736935e-16,Baseline donor pool
EWR,arr,delay15_rate,IAD,9.683662531579504e-17,Baseline donor pool
EWR,arr,delay15_rate,DTW,9.085162989463568e-17,Baseline donor pool
EWR,arr,delay15_rate,SFO,7.220432828256629e-17,Baseline donor pool
EWR,arr,delay15_rate,MSP,7.200776356978426e-17,Baseline donor pool
EWR,arr,delay15_rate,AUS,5.2778543699753734e-17,Baseline donor pool
EWR,arr,delay15_rate,MCI,4.955567117482707e-17,Baseline donor pool
EWR,arr,delay15_rate,OAK,4.067696322226721e-17,Baseline donor pool
EWR,arr,delay15_rate,RDU,3.326796969388235e-17,Baseline donor pool
EWR,arr,delay15_rate,PIT,2.8028896576127626e-17,Baseline donor pool
EWR,arr,delay15_rate,SAT,2.4273045809592775e-17,Baseline donor pool
EWR,arr,delay15_rate,HOU,1.881077568723043e-17,Baseline donor pool
EWR,arr,delay15_rate,MDW,1.6648539697716113e-17,Baseline donor pool
EWR,arr,delay15_rate,IND,9.202615004707601e-18,Baseline donor pool
EWR,arr,delay15_rate,CLT,5.818128977640389e-18,Baseline donor pool
EWR,arr,delay15_rate,LAX,2.741044341235717e-18,Baseline donor pool
EWR,arr,delay15_rate,SJU,1.4845108680056817e-19,Baseline donor pool
EWR,arr,delay15_rate,SEA,0.0,Baseline donor pool
EWR,arr,delay15_rate,LAS,0.0,Baseline donor pool
EWR,arr,delay15_rate,PHX,0.0,Baseline donor pool
EWR,arr,delay15_rate,ORD,0.0,Baseline donor pool
EWR,arr,delay15_rate,MCO,0.0,Baseline donor pool
EWR,arr,delay15_rate,SLC,0.0,Baseline donor pool
EWR,arr,delay15_rate,IAH,0.0,Baseline donor pool
EWR,arr,delay15_rate,TPA,0.0,Baseline donor pool
EWR,arr,delay15_rate,FLL,0.0,Baseline donor pool
EWR,arr,delay15_rate,BNA,0.0,Baseline donor pool
EWR,arr,delay15_rate,MIA,0.0,Baseline donor pool
EWR,arr,delay15_rate,BWI,0.0,Baseline donor pool
EWR,arr,delay15_rate,SAN,0.0,Baseline donor pool
EWR,arr,delay15_rate,SMF,0.0,Baseline donor pool
EWR,arr,delay15_rate,STL,0.0,Baseline donor pool
EWR,arr,delay15_rate,SJC,0.0,Baseline donor pool
EWR,arr,delay15_rate,MSY,0.0,Baseline donor pool
EWR,arr,delay15_rate,CLE,0.0,Baseline donor pool
EWR,arr,delay15_rate,SNA,0.0,Baseline donor pool
EWR,arr,delay15_rate,RSW,0.0,Baseline donor pool
EWR,arr,delay15_rate,CVG,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,LGA,0.6126193676860311,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,JFK,0.38685828421811425,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,DEN,0.0005223480958529666,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,SMF,2.580518915450127e-16,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,LAS,2.0611888765064146e-16,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,ORD,1.7457870740136185e-16,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,SJC,1.6316131610364205e-16,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,MDW,1.548879043408357e-16,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,RSW,1.0423932487461779e-16,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,SFO,9.616928198031387e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,PIT,8.808972808304648e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,BOS,8.703520025585068e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,SJU,8.107867378059588e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,CLE,7.408291661082514e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,SAT,7.375957922120972e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,PDX,5.134967633704888e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,OAK,5.112131403270245e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,CMH,4.7876574884518e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,TPA,4.636557585905341e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,SAN,3.6326503872911546e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,LAX,3.553306523127783e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,AUS,2.433850496475268e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,MSY,2.2323875692387284e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,IAH,2.1634410100229752e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,IAD,1.3106591210925332e-17,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,MCI,2.8516395340553324e-18,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,ATL,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,SEA,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,DCA,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,PHX,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,DFW,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,CLT,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,MCO,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,SLC,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,DTW,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,FLL,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,MIA,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,BNA,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,MSP,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,BWI,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,PHL,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,STL,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,DAL,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,HOU,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,RDU,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,IND,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,HNL,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,SNA,0.0,Baseline donor pool
EWR,arr,nas_delay_per_scheduled_op,CVG,0.0,Baseline donor pool
EWR,dep,delay15_rate,BOS,0.21854716779897634,Baseline donor pool
EWR,dep,delay15_rate,LGA,0.2080509055947694,Baseline donor pool
EWR,dep,delay15_rate,BWI,0.1685195336883554,Baseline donor pool
EWR,dep,delay15_rate,IAH,0.14091021310968327,Baseline donor pool
EWR,dep,delay15_rate,DAL,0.10492451826928448,Baseline donor pool
EWR,dep,delay15_rate,SFO,0.08241955614763927,Baseline donor pool
EWR,dep,delay15_rate,CMH,0.041787621643707085,Baseline donor pool
EWR,dep,delay15_rate,HOU,0.03484048374758327,Baseline donor pool
EWR,dep,delay15_rate,CLT,2.202359002330688e-16,Baseline donor pool
EWR,dep,delay15_rate,MDW,1.6582507409844358e-16,Baseline donor pool
EWR,dep,delay15_rate,DTW,1.262325714605414e-16,Baseline donor pool
EWR,dep,delay15_rate,LAX,1.1446627636036358e-16,Baseline donor pool
EWR,dep,delay15_rate,ATL,1.082517424095561e-16,Baseline donor pool
EWR,dep,delay15_rate,MSY,1.0400044922060447e-16,Baseline donor pool
EWR,dep,delay15_rate,SMF,9.627806383272556e-17,Baseline donor pool
EWR,dep,delay15_rate,TPA,7.780652826097933e-17,Baseline donor pool
EWR,dep,delay15_rate,DEN,7.598902816377216e-17,Baseline donor pool
EWR,dep,delay15_rate,SJU,6.221164838559879e-17,Baseline donor pool
EWR,dep,delay15_rate,PIT,5.225120318031743e-17,Baseline donor pool
EWR,dep,delay15_rate,SEA,4.3793301678531334e-17,Baseline donor pool
EWR,dep,delay15_rate,PDX,4.210364268081597e-17,Baseline donor pool
EWR,dep,delay15_rate,SJC,3.176177280266117e-17,Baseline donor pool
EWR,dep,delay15_rate,MCO,2.9020314512541264e-17,Baseline donor pool
EWR,dep,delay15_rate,STL,2.6990484876559755e-17,Baseline donor pool
EWR,dep,delay15_rate,SAN,2.0052223189860526e-17,Baseline donor pool
EWR,dep,delay15_rate,SAT,1.9593466348552245e-17,Baseline donor pool
EWR,dep,delay15_rate,FLL,1.6295514146740063e-17,Baseline donor pool
EWR,dep,delay15_rate,RDU,1.1769491033126741e-17,Baseline donor pool
EWR,dep,delay15_rate,RSW,1.175515127513286e-17,Baseline donor pool
EWR,dep,delay15_rate,DFW,1.1131744950931605e-17,Baseline donor pool
EWR,dep,delay15_rate,LAS,9.284870892263427e-18,Baseline donor pool
EWR,dep,delay15_rate,AUS,8.35215288230891e-18,Baseline donor pool
EWR,dep,delay15_rate,ORD,3.9169359862669035e-18,Baseline donor pool
EWR,dep,delay15_rate,PHL,2.8717250193958883e-18,Baseline donor pool
EWR,dep,delay15_rate,SLC,0.0,Baseline donor pool
EWR,dep,delay15_rate,PHX,0.0,Baseline donor pool
EWR,dep,delay15_rate,DCA,0.0,Baseline donor pool
EWR,dep,delay15_rate,JFK,0.0,Baseline donor pool
EWR,dep,delay15_rate,BNA,0.0,Baseline donor pool
EWR,dep,delay15_rate,MSP,0.0,Baseline donor pool
EWR,dep,delay15_rate,MIA,0.0,Baseline donor pool
EWR,dep,delay15_rate,IAD,0.0,Baseline donor pool
EWR,dep,delay15_rate,MCI,0.0,Baseline donor pool
EWR,dep,delay15_rate,HNL,0.0,Baseline donor pool
EWR,dep,delay15_rate,IND,0.0,Baseline donor pool
EWR,dep,delay15_rate,CLE,0.0,Baseline donor pool
EWR,dep,delay15_rate,SNA,0.0,Baseline donor pool
EWR,dep,delay15_rate,OAK,0.0,Baseline donor pool
EWR,dep,delay15_rate,CVG,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,MCO,0.32647150666342045,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,JFK,0.29889988068794243,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,IAH,0.12485555239618627,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,BOS,0.119760504932632,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,IAD,0.06968515375083237,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,RSW,0.03615518214925013,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,FLL,0.024172219419735033,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,PHX,2.0247654717309727e-16,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,OAK,1.3403395182766167e-16,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,SAT,1.2589015196139406e-16,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,LAS,1.013003708454566e-16,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,LAX,9.900587809208113e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,CVG,6.84717725579255e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,HNL,6.774748360371861e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,DTW,6.279577987141629e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,BWI,5.625598761469394e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,SFO,5.395107347331229e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,SEA,5.3014206137830264e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,SLC,4.185842306651944e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,CMH,3.3878957023186946e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,ATL,3.290164862614139e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,PHL,3.285203388326788e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,PDX,2.1500464607065758e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,BNA,1.7834975787073694e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,TPA,1.2601217519734488e-17,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,PIT,8.702501773259001e-18,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,DCA,7.866901649462213e-18,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,MSP,5.107237086270802e-18,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,CLE,2.5588403921233225e-18,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,ORD,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,DFW,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,DEN,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,CLT,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,LGA,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,SMF,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,DAL,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,STL,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,SAN,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,MIA,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,AUS,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,MDW,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,SJC,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,IND,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,MCI,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,MSY,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,HOU,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,RDU,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,SNA,0.0,Baseline donor pool
EWR,dep,nas_delay_per_scheduled_op,SJU,0.0,Baseline donor pool
