treated_airport,side,metric,pre_rmse,post_mean_gap,post_abs_mean_gap,post_days,observed_stress_mean,observed_interim_mean,synthetic_stress_mean,synthetic_interim_mean,observed_change,synthetic_change,recovery_gap,ewr_post_mean_gap,ewr_recovery_gap,ewr_pre_rmse,rank_most_negative,rank_recovery_most_negative,airports,permutation_p_lower_or_equal,permutation_p_recovery_lower_or_equal
ORD,arr,scheduled_ops,114.31606635115514,93.20315456778388,93.20315456778388,27,887.6285714285714,945.2592592592592,819.7609022817527,852.0561046914753,57.63068783068786,32.295202409722606,25.335485420965256,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
ATL,arr,scheduled_ops,49.01887730430456,-17.02778066195371,20.92601407632799,27,868.0857142857143,899.9629629629629,857.4741135807179,916.9907436249166,31.877248677248645,59.51663004419868,-27.639381366950033,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
DFW,arr,scheduled_ops,40.18602819944019,-1.666644747490472,23.444439455035127,27,866.0285714285715,907.8518518518518,848.999979766552,909.5184965993423,41.82328042328038,60.51851683279028,-18.695236409509903,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
DEN,arr,scheduled_ops,39.300077427093996,14.565216717774808,21.451549348078245,27,849.0,909.5185185185185,857.0549944821208,894.9533018007436,60.518518518518476,37.898307318622756,22.62021119989572,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
PHX,arr,scheduled_ops,67.42449404542131,-70.12676953926477,70.12676953926477,27,580.9428571428572,528.7407407407408,591.4490996547665,598.8675102800055,-52.20211640211642,7.418410625238948,-59.620527027355365,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
CLT,arr,scheduled_ops,58.11244082954977,-34.63225114027221,34.725952267460485,27,577.0571428571428,561.7037037037037,575.7129237069537,596.3359548439759,-15.353439153439126,20.623031137022167,-35.97647029046129,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
LAS,arr,scheduled_ops,53.4596776862968,-32.21318038644977,35.8945133160382,27,539.4,529.2962962962963,540.6603102791687,561.5094766827461,-10.103703703703673,20.849166403577442,-30.952870107281115,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
LAX,arr,scheduled_ops,16.481332699898058,-13.503011663008769,13.503011663008769,27,530.6,541.2222222222222,530.9001284111655,554.725233885231,10.622222222222149,23.82510547406548,-13.202883251843332,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
MCO,arr,scheduled_ops,24.386137513487927,-8.00618883850472,19.281423855236,27,452.0571428571429,433.14814814814815,452.0846465422868,441.1543369866529,-18.908994708994726,-10.930309555633926,-7.9786851533608,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
SEA,arr,scheduled_ops,37.201225184210756,49.759624553682364,49.759624553682364,27,446.85714285714283,504.1111111111111,438.4909833705239,454.35148655742876,57.25396825396825,15.86050318690485,41.3934650670634,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
BOS,arr,scheduled_ops,13.872709942438066,-2.4106562273231864,5.521775728012303,27,416.1142857142857,402.8888888888889,410.8209210307514,405.2995451162121,-13.225396825396786,-5.5213759145393055,-7.70402091085748,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
SFO,arr,scheduled_ops,11.774602901951924,-7.761502093100758,9.216100978152053,27,414.22857142857146,414.6296296296296,411.36911491196514,422.39113172273034,0.4010582010581629,11.022016810765194,-10.620958609707031,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
DCA,arr,scheduled_ops,14.084962920148092,3.0550541142608227,7.237589137122345,27,398.9714285714286,394.51851851851853,397.82741120926715,391.4634644042577,-4.452910052910056,-6.363946805009448,1.9110367520993918,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
LGA,arr,scheduled_ops,27.523966786032343,2.891456820226162,21.801351438759504,27,373.34285714285716,369.8888888888889,371.15016987352533,366.9974320686628,-3.4539682539682417,-4.152737804862511,0.6987695508942693,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
DTW,arr,scheduled_ops,8.504107124333371,-2.2293923832118847,6.4949101656175605,27,339.2,347.81481481481484,337.98957783487106,350.0442071980266,8.61481481481485,12.054629363155527,-3.439814548340678,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
IAH,arr,scheduled_ops,13.761425961893043,-10.250844342308278,10.322771333081967,27,324.8857142857143,330.4074074074074,324.4803614028489,340.6582517497157,5.52169312169309,16.177890346866775,-10.656197225173685,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
SLC,arr,scheduled_ops,7.994424188528072,6.061956325791521,6.640872230693036,27,317.4,325.3333333333333,318.49429768839707,319.2713770075418,7.933333333333337,0.7770793191447183,7.156254014188619,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
MIA,arr,scheduled_ops,30.611433984470835,-4.644883648714574,7.332169528152357,27,314.9142857142857,297.44444444444446,319.6581714862243,302.08932809315905,-17.469841269841254,-17.568843393065265,0.09900212322401103,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
MSP,arr,scheduled_ops,11.644465153312586,9.812913937177676,10.655796450608038,27,311.37142857142857,333.1111111111111,311.4175032979756,323.2981971739334,21.73968253968252,11.880693875957775,9.858988663724745,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
EWR,arr,scheduled_ops,34.60642114611797,-25.30591323414001,25.30591323414001,27,304.45714285714286,276.25925925925924,315.82151540861656,301.5651724933993,-28.197883597883617,-14.25634291521726,-13.941540682666357,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
BNA,arr,scheduled_ops,9.737819849383492,0.3161381866836113,10.186566087971661,27,301.6857142857143,309.1111111111111,298.03815868019797,308.7949729244275,7.425396825396774,10.756814244229531,-3.331417418832757,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
JFK,arr,scheduled_ops,13.048816076666629,11.591043816284206,11.762928896414465,27,290.1714285714286,292.9259259259259,286.693895041934,281.33488210964174,2.754497354497346,-5.3590129322922735,8.11351028678962,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
PHL,arr,scheduled_ops,18.17823658825715,-9.747757770334863,10.05684741173327,27,287.7142857142857,287.037037037037,282.2197758030849,296.78479480737195,-0.6772486772487127,14.56501900428708,-15.242267681535793,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
BWI,arr,scheduled_ops,6.161109951496616,-2.1437342805842388,3.9254328216172274,27,272.0857142857143,279.037037037037,271.07644092826166,281.18077131762135,6.951322751322721,10.104330389359689,-3.153007638036968,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
SAN,arr,scheduled_ops,7.232323969483175,-2.229204658151977,2.8337662230354272,27,269.54285714285714,278.1111111111111,269.9895198099886,280.34031576926304,8.568253968253941,10.350795959274421,-1.78254199102048,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
AUS,arr,scheduled_ops,9.461788186620774,0.49685351022097385,3.2213652390342733,27,247.11428571428573,249.7037037037037,246.392937111605,249.20685019348272,2.589417989417967,2.813913081877729,-0.22449509245976174,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
FLL,arr,scheduled_ops,16.001321828628036,-13.21975999250243,13.21975999250243,27,238.9142857142857,214.1851851851852,248.25606301995214,227.4049451776876,-24.72910052910052,-20.85111784226453,-3.877982686835992,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
TPA,arr,scheduled_ops,10.119719141627192,-0.06823623811447461,4.480784892712099,27,231.6,218.0,231.21486588931884,218.0682362381145,-13.599999999999994,-13.146629651204336,-0.45337034879565863,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
DAL,arr,scheduled_ops,10.418651963650346,-2.926900611111421,6.18654808355554,27,201.31428571428572,202.59259259259258,202.86586620890776,205.519493203704,1.2783068783068643,2.653626994796241,-1.3753201164893767,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
MDW,arr,scheduled_ops,19.298819571447282,11.850867160479531,16.76229228222659,27,200.14285714285714,216.0,200.69992757541928,204.1491328395205,15.857142857142861,3.4492052641012094,12.407937593041652,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
STL,arr,scheduled_ops,5.086559255543049,-2.9738898143875474,4.811111870182208,27,182.4857142857143,185.62962962962962,182.0169807668212,188.60351944401717,3.1439153439153245,6.586538677195961,-3.442623333280636,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
IAD,arr,scheduled_ops,9.355211940132026,9.754375140646069,9.781507122103339,27,172.71428571428572,177.85185185185185,166.90999845171496,168.0974767112058,5.137566137566125,1.187478259490831,3.950087878075294,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
SMF,arr,scheduled_ops,6.693519378519424,4.070957203153027,5.122117206359945,27,166.65714285714284,171.4814814814815,165.75090171019517,167.41052427832844,4.824338624338651,1.6596225681332726,3.1647160562053784,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
PDX,arr,scheduled_ops,14.255938569868505,11.364311085656142,11.364311085656142,27,161.25714285714287,180.7037037037037,160.8291569519418,169.33939261804753,19.44656084656083,8.510235666105729,10.9363251804551,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
HNL,arr,scheduled_ops,9.640570626787907,8.333309689782226,9.56085956812683,27,157.85714285714286,162.85185185185185,157.96269602998865,154.5185421620696,4.994708994708986,-3.4441538679190558,8.438862862628042,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
HOU,arr,scheduled_ops,7.480250143733942,0.17115606306432735,3.5066694701406482,27,154.28571428571428,157.37037037037038,153.46442701097206,157.19921430730605,3.0846560846561033,3.734787296333991,-0.6501312116778877,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
RDU,arr,scheduled_ops,7.276460010798752,-2.2387502698194033,3.6503940583254217,27,153.25714285714287,157.77777777777777,153.20580123417653,160.0165280475972,4.520634920634905,6.810726813420672,-2.2900918927857674,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
MSY,arr,scheduled_ops,15.160074353833604,-14.04486051277447,15.078203420963552,27,149.45714285714286,137.2962962962963,153.21682896340306,151.34115680907075,-12.16084656084655,-1.8756721543323067,-10.285174406514244,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
MCI,arr,scheduled_ops,6.729493310507718,7.85994708571887,8.212901466600373,27,137.0857142857143,143.7037037037037,136.00344497853652,135.84375661798484,6.617989417989406,-0.15968836055168367,6.77767777854109,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
IND,arr,scheduled_ops,6.665540857817675,6.284267210936381,6.377138283728173,27,130.65714285714284,138.5185185185185,131.92305079583574,132.23425130758213,7.861375661375661,0.3112005117463923,7.550175149629268,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
SJC,arr,scheduled_ops,4.224489242061828,-0.39722469597541177,3.610645074282295,27,129.74285714285713,131.33333333333334,131.18564067227385,131.73055802930872,1.5904761904762097,0.5449173570348762,1.0455588334413335,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
CMH,arr,scheduled_ops,4.514095293268558,-0.9545525609599174,2.785047245436854,27,126.4,126.77777777777777,126.04797104851599,127.73233033873768,0.3777777777777658,1.6843592902216926,-1.3065815124439268,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
SNA,arr,scheduled_ops,8.936661664743415,4.032408055371072,4.812583764910646,27,124.88571428571429,128.5185185185185,124.34479235857151,124.48611046314745,3.6328042328042187,0.1413181045759444,3.4914861282282743,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
PIT,arr,scheduled_ops,5.4771107607649485,0.8178819119752821,2.5839592090111725,27,122.71428571428571,124.4074074074074,121.93964769666208,123.58952549543213,1.6931216931216966,1.6498777987700493,0.04324389435164733,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
SAT,arr,scheduled_ops,4.764713849168223,-1.9668664096966184,2.6946238297911695,27,120.6,121.37037037037037,120.54405294737161,123.33723678006699,0.7703703703703724,2.7931838326953766,-2.0228134623250043,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
CLE,arr,scheduled_ops,3.9312439152515233,-0.03185075220261734,2.1536129177857504,27,114.05714285714286,117.07407407407408,113.88708942783168,117.10592482627669,3.016931216931212,3.218835398445009,-0.20190418151379674,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
OAK,arr,scheduled_ops,12.48835438746257,-7.295292493420056,8.642823902712962,27,103.68571428571428,102.03703703703704,105.92559822316461,109.33232953045709,-1.6486772486772452,3.4067313072924748,-5.05540855596972,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
RSW,arr,scheduled_ops,24.9989025270833,-35.40710035383859,35.40710035383859,27,102.48571428571428,78.44444444444444,114.83465574363575,113.85154479828304,-24.041269841269838,-0.9831109453527063,-23.05815889591713,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
SJU,arr,scheduled_ops,13.560786407662551,8.292784403770147,8.468228132167708,27,99.62857142857143,101.55555555555556,101.1605761579204,93.2627711517854,1.9269841269841237,-7.897805006135002,9.824789133119125,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
CVG,arr,scheduled_ops,10.226191721166947,-3.9391660684117773,7.897542292514263,27,94.8,98.07407407407408,103.48519275884523,102.01324014248587,3.274074074074079,-1.47195261635936,4.746026690433439,-25.30591323414001,-13.941540682666357,34.60642114611797,5,8,50,0.1,0.16
ORD,arr,delay15_rate,0.10135659386102089,0.009000472433227843,0.03769684164672449,27,0.18878080037872838,0.231571548791811,0.19671987817960768,0.22257107635858317,0.04279074841308261,0.025851198178975493,0.01693955023410712,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
ATL,arr,delay15_rate,0.07377382713720076,0.0003978768520179353,0.047514273465698594,27,0.19070077727283422,0.22230987947408554,0.19983179972681672,0.22191200262206767,0.03160910220125132,0.02208020289525095,0.009528899306000371,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
DFW,arr,delay15_rate,0.08702197906529047,0.036096427680970086,0.061466425525205586,27,0.28277416691350776,0.3149061203064512,0.23047860701125755,0.2788096926254811,0.032131953392943446,0.04833108561422356,-0.01619913222128011,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
DEN,arr,delay15_rate,0.11251310348533998,0.11000412464285185,0.15281104527642653,27,0.26787843033621456,0.35887732974239983,0.22752250464415905,0.24887320509954802,0.09099889940618527,0.021350700455388977,0.0696481989507963,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
PHX,arr,delay15_rate,0.06319875522606208,-0.003222143401578595,0.026876408769202206,27,0.18189769445681322,0.21577013454329114,0.18415249938974584,0.21899227794486972,0.03387244008647791,0.03483977855512388,-0.0009673384686459674,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
CLT,arr,delay15_rate,0.05709681058542486,-0.01535858388294927,0.03950384009504721,27,0.20471187453727022,0.2177132875921206,0.208608521550536,0.23307187147506989,0.013001413054850391,0.02446334992453389,-0.011461936869683498,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
LAS,arr,delay15_rate,0.07729222698564749,-0.021303914234761606,0.043538307755699446,27,0.18549187332032088,0.22817254015407734,0.2097157863039473,0.24947645438883898,0.04268066683375646,0.039760668084891676,0.0029199987488647827,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
LAX,arr,delay15_rate,0.032660677869372455,0.0015594775758574907,0.02135908868597539,27,0.17026496280046044,0.1948444288540586,0.17412601488808777,0.19328495127820108,0.024579466053598148,0.019158936390113318,0.00542052966348483,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
MCO,arr,delay15_rate,0.054700211529641794,0.029255332469228828,0.0587819261007417,27,0.21613784335377165,0.26785561194655644,0.21093468327545598,0.23860027947732765,0.05171776859278479,0.027665596201871673,0.024052172390913118,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
SEA,arr,delay15_rate,0.05578411218519757,0.033083601603149417,0.0419863142540935,27,0.18748716968662943,0.23955520372688402,0.18178384420644225,0.20647160212373455,0.05206803404025459,0.024687757917292302,0.027380276122962288,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
BOS,arr,delay15_rate,0.11725003646957592,0.026882624564611338,0.09391584388208953,27,0.2499765308950622,0.26616512777644585,0.25117027574811124,0.23928250321183453,0.01618859688138366,-0.011887772536276708,0.02807636941766037,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
SFO,arr,delay15_rate,0.11665315388696308,0.0010097420552035914,0.052362702922345516,27,0.20729660484791032,0.228009994894161,0.1956072770294104,0.22700025283895736,0.020713390046250668,0.031392975809546975,-0.010679585763296306,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
DCA,arr,delay15_rate,0.10667964047021153,0.022093119940479165,0.05556572087692491,27,0.2692701906117291,0.2665757575116074,0.24247554451518719,0.24448263757112818,-0.002694433100121685,0.0020070930559409894,-0.004701526156062674,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
LGA,arr,delay15_rate,0.11820447501293779,-0.03367966503320919,0.07080956452634622,27,0.2668058066940436,0.21793273246276784,0.2815176453072666,0.2516123974959771,-0.04887307423127574,-0.029905247811289504,-0.018967826419986233,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
DTW,arr,delay15_rate,0.05807772691281172,-0.04585489433469485,0.04608487858489512,27,0.16571438069509478,0.16662311978930508,0.18957615179654325,0.21247801412399991,0.000908739094210298,0.022901862327456668,-0.02199312323324637,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
IAH,arr,delay15_rate,0.05182231929051529,0.05090469809422318,0.07600195092786458,27,0.19554636210239548,0.3114826295404358,0.21030744800562123,0.2605779314462126,0.11593626743804034,0.050270483440591374,0.06566578399744896,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
SLC,arr,delay15_rate,0.04859011306335527,-0.04224650465223051,0.04277570706262937,27,0.13968945161713434,0.15238267516810403,0.16490306163268914,0.19462917982033456,0.01269322355096969,0.029726118187645423,-0.017032894636675733,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
MIA,arr,delay15_rate,0.0552689586025734,-0.009275976133369076,0.04021587601099137,27,0.20315117745509664,0.23170443917618647,0.21134152257089184,0.24098041530955558,0.028553261721089823,0.02963889273866374,-0.0010856310175739181,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
MSP,arr,delay15_rate,0.07809271068430747,-0.04887219124516307,0.07702414680487811,27,0.19314691577783263,0.16897444750685756,0.18714774780432963,0.21784663875202062,-0.024172468270975078,0.030698890947690988,-0.054871359218666066,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
EWR,arr,delay15_rate,0.13875305428191764,0.01163979259444186,0.13261964482317332,27,0.47290077124043606,0.2558402114928717,0.25548555755915825,0.24420041889842986,-0.21706055974756433,-0.011285138660728389,-0.20577542108683594,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
BNA,arr,delay15_rate,0.05789734812955476,-0.012331052642722181,0.05577979950713753,27,0.20342617566080987,0.2425215484168064,0.2113769441561371,0.25485260105952856,0.03909537275599653,0.043475656903391474,-0.004380284147394942,0.01163979259444186,-0.20577542108683594,0.13875305428191764,37,1,50,0.74,0.02
