treated_airport,side,metric,donor_airport,weight
EWR,arr,scheduled_ops,MIA,0.6807004388773715
EWR,arr,scheduled_ops,LGA,0.25305175612961944
EWR,arr,scheduled_ops,RSW,0.06273148500359788
EWR,arr,scheduled_ops,HNL,0.0035163199894022155
EWR,arr,scheduled_ops,DCA,3.1466102450185773e-15
EWR,arr,scheduled_ops,LAX,5.559017181233794e-16
EWR,arr,scheduled_ops,SAN,4.4120859081685426e-16
EWR,arr,scheduled_ops,FLL,4.3689700886249916e-16
EWR,arr,scheduled_ops,SAT,4.2402990569264554e-16
EWR,arr,scheduled_ops,SLC,4.097705784538901e-16
EWR,arr,scheduled_ops,PHL,3.8297941402813167e-16
EWR,arr,scheduled_ops,LAS,3.402425767926339e-16
EWR,arr,scheduled_ops,MDW,3.1892983050148457e-16
EWR,arr,scheduled_ops,SNA,3.036894670200268e-16
EWR,arr,scheduled_ops,DAL,2.9601258579415897e-16
EWR,arr,scheduled_ops,JFK,2.864723541961703e-16
EWR,arr,scheduled_ops,PHX,2.844928561439915e-16
EWR,arr,scheduled_ops,MSP,2.235916230461046e-16
EWR,arr,scheduled_ops,CVG,1.7062126177713253e-16
EWR,arr,scheduled_ops,SMF,1.4685673438908053e-16
EWR,arr,scheduled_ops,SFO,1.4212378833770691e-16
EWR,arr,scheduled_ops,HOU,1.3248917986426197e-16
EWR,arr,scheduled_ops,CLE,6.984353685281924e-17
EWR,arr,scheduled_ops,PIT,6.301939799075372e-17
EWR,arr,scheduled_ops,SJU,5.944791149108493e-17
EWR,arr,scheduled_ops,BNA,5.856171912201553e-17
EWR,arr,scheduled_ops,RDU,5.80264063621503e-17
EWR,arr,scheduled_ops,ATL,0.0
EWR,arr,scheduled_ops,ORD,0.0
EWR,arr,scheduled_ops,DEN,0.0
EWR,arr,scheduled_ops,DFW,0.0
EWR,arr,scheduled_ops,CLT,0.0
EWR,arr,scheduled_ops,MCO,0.0
EWR,arr,scheduled_ops,IAH,0.0
EWR,arr,scheduled_ops,DTW,0.0
EWR,arr,scheduled_ops,BOS,0.0
EWR,arr,scheduled_ops,SEA,0.0
EWR,arr,scheduled_ops,BWI,0.0
EWR,arr,scheduled_ops,AUS,0.0
EWR,arr,scheduled_ops,STL,0.0
EWR,arr,scheduled_ops,TPA,0.0
EWR,arr,scheduled_ops,PDX,0.0
EWR,arr,scheduled_ops,IAD,0.0
EWR,arr,scheduled_ops,CMH,0.0
EWR,arr,scheduled_ops,MCI,0.0
EWR,arr,scheduled_ops,MSY,0.0
EWR,arr,scheduled_ops,SJC,0.0
EWR,arr,scheduled_ops,IND,0.0
EWR,arr,scheduled_ops,OAK,0.0
EWR,arr,cancel_rate,PIT,0.7664245825089964
EWR,arr,cancel_rate,LGA,0.1980760177972928
EWR,arr,cancel_rate,MSY,0.03549939969370856
EWR,arr,cancel_rate,DEN,3.1250522186700213e-16
EWR,arr,cancel_rate,OAK,2.618279443213475e-16
EWR,arr,cancel_rate,AUS,1.520706278798659e-16
EWR,arr,cancel_rate,FLL,1.3845306743113148e-16
EWR,arr,cancel_rate,RSW,1.2351979019858828e-16
EWR,arr,cancel_rate,MCI,1.1800561940152756e-16
EWR,arr,cancel_rate,LAS,1.0652372884383053e-16
EWR,arr,cancel_rate,DAL,1.0577345058443879e-16
EWR,arr,cancel_rate,BWI,1.0018860487585483e-16
EWR,arr,cancel_rate,IAD,8.3024600590175e-17
EWR,arr,cancel_rate,DCA,8.262123712398915e-17
EWR,arr,cancel_rate,SAT,7.26652655029645e-17
EWR,arr,cancel_rate,SMF,6.898448283339963e-17
EWR,arr,cancel_rate,ATL,6.362733767476237e-17
EWR,arr,cancel_rate,SLC,6.222377296780815e-17
EWR,arr,cancel_rate,SFO,5.44777364517486e-17
EWR,arr,cancel_rate,STL,5.3347346866022064e-17
EWR,arr,cancel_rate,MDW,5.133622017130219e-17
EWR,arr,cancel_rate,ORD,4.889352748320719e-17
EWR,arr,cancel_rate,DTW,4.271771251736893e-17
EWR,arr,cancel_rate,IAH,3.790594345672348e-17
EWR,arr,cancel_rate,LAX,3.5527265025122034e-17
EWR,arr,cancel_rate,SJU,3.435764743099938e-17
EWR,arr,cancel_rate,CLT,3.373478014688266e-17
EWR,arr,cancel_rate,HNL,3.2954745730990495e-17
EWR,arr,cancel_rate,CVG,5.5093044136783945e-18
EWR,arr,cancel_rate,DFW,0.0
EWR,arr,cancel_rate,SEA,0.0
EWR,arr,cancel_rate,PHX,0.0
EWR,arr,cancel_rate,MCO,0.0
EWR,arr,cancel_rate,BOS,0.0
EWR,arr,cancel_rate,TPA,0.0
EWR,arr,cancel_rate,MIA,0.0
EWR,arr,cancel_rate,MSP,0.0
EWR,arr,cancel_rate,JFK,0.0
EWR,arr,cancel_rate,BNA,0.0
EWR,arr,cancel_rate,PHL,0.0
EWR,arr,cancel_rate,SAN,0.0
EWR,arr,cancel_rate,PDX,0.0
EWR,arr,cancel_rate,CMH,0.0
EWR,arr,cancel_rate,IND,0.0
EWR,arr,cancel_rate,RDU,0.0
EWR,arr,cancel_rate,HOU,0.0
EWR,arr,cancel_rate,SJC,0.0
EWR,arr,cancel_rate,CLE,0.0
EWR,arr,cancel_rate,SNA,0.0
EWR,arr,delay15_rate,JFK,0.34068002157617455
EWR,arr,delay15_rate,LGA,0.3131733955744598
EWR,arr,delay15_rate,CMH,0.10748905290086853
EWR,arr,delay15_rate,PHL,0.08700411708960304
EWR,arr,delay15_rate,BOS,0.05442052960886337
EWR,arr,delay15_rate,DFW,0.0526314078789256
EWR,arr,delay15_rate,DEN,0.04143899343527768
EWR,arr,delay15_rate,DCA,0.003162481935825971
EWR,arr,delay15_rate,LAS,2.0750258414376187e-16
EWR,arr,delay15_rate,MCO,1.848757623264361e-16
EWR,arr,delay15_rate,HNL,1.762393751516725e-16
EWR,arr,delay15_rate,LAX,1.619925044922716e-16
EWR,arr,delay15_rate,DTW,1.1075554594471895e-16
EWR,arr,delay15_rate,IAH,8.704751127564304e-17
EWR,arr,delay15_rate,SNA,8.499469827227714e-17
EWR,arr,delay15_rate,MSP,5.67843070701849e-17
EWR,arr,delay15_rate,SLC,5.62544888843099e-17
EWR,arr,delay15_rate,IND,3.857317635401957e-17
EWR,arr,delay15_rate,IAD,3.494516242142406e-17
EWR,arr,delay15_rate,CVG,3.369347565436261e-17
EWR,arr,delay15_rate,SMF,3.315089891384718e-17
EWR,arr,delay15_rate,MCI,3.156381209722403e-17
EWR,arr,delay15_rate,SAT,2.8229288750923525e-17
EWR,arr,delay15_rate,DAL,2.5741584407438165e-17
EWR,arr,delay15_rate,ATL,2.3758224510115876e-17
EWR,arr,delay15_rate,SFO,1.7952984619520715e-17
EWR,arr,delay15_rate,HOU,1.6921555503837448e-17
EWR,arr,delay15_rate,TPA,1.433135332489695e-17
EWR,arr,delay15_rate,ORD,8.845425588623042e-18
EWR,arr,delay15_rate,OAK,2.741539600841292e-18
EWR,arr,delay15_rate,PIT,2.741259206510277e-18
EWR,arr,delay15_rate,PHX,0.0
EWR,arr,delay15_rate,CLT,0.0
EWR,arr,delay15_rate,SEA,0.0
EWR,arr,delay15_rate,PDX,0.0
EWR,arr,delay15_rate,FLL,0.0
EWR,arr,delay15_rate,MDW,0.0
EWR,arr,delay15_rate,BNA,0.0
EWR,arr,delay15_rate,BWI,0.0
EWR,arr,delay15_rate,SAN,0.0
EWR,arr,delay15_rate,AUS,0.0
EWR,arr,delay15_rate,MIA,0.0
EWR,arr,delay15_rate,STL,0.0
EWR,arr,delay15_rate,RDU,0.0
EWR,arr,delay15_rate,MSY,0.0
EWR,arr,delay15_rate,SJC,0.0
