month,side,carrier_group,departures_performed,seats,passengers,active_routes
1,arr,Other carriers,6018.0,626276.0,497719.0,92
1,arr,United,5776.0,997390.0,768153.0,60
1,dep,Other carriers,6130.0,625801.0,507477.0,86
1,dep,United,5787.0,999758.0,787343.0,56
2,arr,Other carriers,5556.0,578388.0,457457.0,94
2,arr,United,5426.0,930055.0,720213.0,50
2,dep,Other carriers,5657.0,578938.0,459067.0,86
2,dep,United,5430.0,931094.0,733579.0,53
3,arr,Other carriers,6327.0,679929.0,573743.0,97
3,arr,United,6038.0,1039171.0,865733.0,59
3,dep,Other carriers,6401.0,677920.0,555226.0,97
3,dep,United,6024.0,1035827.0,828743.0,55
4,arr,Other carriers,5149.0,589775.0,499316.0,84
4,arr,United,5413.0,957770.0,792636.0,58
4,dep,Other carriers,5256.0,588314.0,503652.0,75
4,dep,United,5418.0,956931.0,801369.0,52
5,arr,Other carriers,4759.0,587535.0,468695.0,88
5,arr,United,4853.0,859051.0,696579.0,64
5,dep,Other carriers,4864.0,587287.0,451844.0,84
5,dep,United,4854.0,859450.0,672423.0,56
6,arr,Other carriers,5328.0,629261.0,536409.0,90
6,arr,United,4749.0,833245.0,720420.0,61
6,dep,Other carriers,5414.0,628401.0,528998.0,83
6,dep,United,4731.0,830637.0,720307.0,55
7,arr,Other carriers,5935.0,663330.0,562036.0,95
7,arr,United,5359.0,931907.0,783572.0,60
7,dep,Other carriers,6058.0,664364.0,586283.0,96
7,dep,United,5345.0,927967.0,828115.0,59
8,arr,Other carriers,6495.0,713245.0,612385.0,91
8,arr,United,5481.0,964527.0,830967.0,58
8,dep,Other carriers,6623.0,712977.0,610488.0,92
8,dep,United,5481.0,962498.0,816235.0,56
9,arr,Other carriers,6089.0,650129.0,525756.0,89
9,arr,United,5382.0,951421.0,773381.0,62
9,dep,Other carriers,6204.0,649346.0,510891.0,90
9,dep,United,5382.0,950988.0,761503.0,56
10,arr,Other carriers,6458.0,687790.0,563142.0,91
10,arr,United,5709.0,997707.0,828163.0,54
10,dep,Other carriers,6588.0,686141.0,570645.0,94
10,dep,United,5724.0,999948.0,855387.0,53
11,arr,Other carriers,5726.0,639939.0,502179.0,87
11,arr,United,5822.0,1007121.0,813265.0,55
11,dep,Other carriers,5829.0,639187.0,503467.0,87
11,dep,United,5819.0,1005962.0,819974.0,57
12,arr,Other carriers,6222.0,676273.0,573679.0,96
12,arr,United,5958.0,1037392.0,866416.0,59
12,dep,Other carriers,6356.0,675101.0,580802.0,92
12,dep,United,5954.0,1036047.0,907871.0,58
