month,side,departures_performed,seats,passengers,active_routes,active_carriers,days,seats_per_day,passengers_per_day,passengers_per_departure,load_factor
1,arr,11794.0,1623666.0,1265872.0,107,27,31,52376.32258064516,40834.58064516129,107.33186365948788,0.7796381768171533
1,dep,11917.0,1625559.0,1294820.0,99,26,31,52437.3870967742,41768.3870967742,108.65318452630696,0.7965382985176176
2,arr,10982.0,1508443.0,1177670.0,106,23,28,53872.96428571428,42059.642857142855,107.23638681478783,0.7807189267343877
2,dep,11087.0,1510032.0,1192646.0,103,24,28,53929.71428571428,42594.5,107.57157030756743,0.7898150502770802
3,arr,12365.0,1719100.0,1439476.0,110,29,31,55454.83870967742,46434.709677419356,116.41536595228467,0.837342795648886
3,dep,12425.0,1713747.0,1383969.0,112,29,31,55282.16129032258,44644.16129032258,111.38583501006036,0.8075690285672272
4,arr,10562.0,1547545.0,1291952.0,91,26,30,51584.833333333336,43065.066666666666,122.32077258095057,0.8348396977147676
4,dep,10674.0,1545245.0,1305021.0,86,22,30,51508.166666666664,43500.7,122.26166385609893,0.8445398626107834
5,arr,9612.0,1446586.0,1165274.0,100,23,31,46664.06451612903,37589.48387096774,121.2311693716188,0.8055338569570009
5,dep,9718.0,1446737.0,1124267.0,95,22,31,46668.93548387097,36266.67741935484,115.68913356657748,0.7771053066314058
6,arr,10077.0,1462506.0,1256829.0,101,22,30,48750.2,41894.3,124.72253646918726,0.8593667308031557
6,dep,10145.0,1459038.0,1249305.0,94,23,30,48634.6,41643.5,123.1448989650074,0.8562525444847907
7,arr,11294.0,1595237.0,1345608.0,105,25,31,51459.25806451613,43406.709677419356,119.14361607933417,0.8435160418169839
7,dep,11403.0,1592331.0,1414398.0,113,24,31,51365.51612903226,45625.74193548387,124.03735858984477,0.8882562733502016
8,arr,11976.0,1677772.0,1443352.0,101,25,31,54121.67741935484,46559.74193548387,120.52037408149633,0.8602789890402271
8,dep,12104.0,1675475.0,1426723.0,103,23,31,54047.58064516129,46023.32258064516,117.87202577660278,0.8515334457392679
9,arr,11471.0,1601550.0,1299137.0,105,24,30,53385.0,43304.566666666666,113.25403190654694,0.8111747994130686
9,dep,11586.0,1600334.0,1272394.0,105,21,30,53344.46666666667,42413.13333333333,109.82168133954772,0.7950802769921779
10,arr,12167.0,1685497.0,1391305.0,105,25,31,54370.87096774193,44880.8064516129,114.35070272047341,0.825456823714311
10,dep,12312.0,1686089.0,1426032.0,103,25,31,54389.967741935485,46001.032258064515,115.82456140350877,0.8457631833195045
11,arr,11548.0,1647060.0,1315444.0,99,24,30,54902.0,43848.13333333333,113.91098025632144,0.7986618580986727
11,dep,11648.0,1645149.0,1323441.0,98,23,30,54838.3,44114.7,113.61959134615384,0.8044505391304982
12,arr,12180.0,1713665.0,1440095.0,109,27,31,55279.51612903226,46454.67741935484,118.23440065681444,0.8403596969069217
12,dep,12310.0,1711148.0,1488673.0,107,25,31,55198.32258064516,48021.709677419356,120.93200649878148,0.869984945779091
