month,side,counterpart,carrier,carrier_group,departures_performed,seats,passengers,distance
1,arr,ABE,FX,Other carriers,1.0,0.0,0.0,67.0
1,arr,ABE,UA,United,1.0,179.0,51.0,67.0
1,arr,ACT,C5,Other carriers,2.0,150.0,44.0,1428.0
1,arr,ACT,GCA,Other carriers,1.0,68.0,0.0,1428.0
1,arr,AEX,GCA,Other carriers,5.0,990.0,241.0,1212.0
1,arr,ALB,G7,Other carriers,61.0,3050.0,2633.0,143.0
1,arr,ANC,FX,Other carriers,23.0,0.0,0.0,3370.0
1,arr,ANC,VJT,Other carriers,1.0,14.0,1.0,3370.0
1,arr,ATL,DL,Other carriers,244.0,37155.0,32457.0,746.0
1,arr,ATL,F9,Other carriers,28.0,5208.0,4130.0,746.0
1,arr,ATL,NK,Other carriers,52.0,10629.0,8235.0,746.0
1,arr,ATL,UA,United,158.0,23104.0,15601.0,746.0
1,arr,ATL,YX,Other carriers,7.0,526.0,461.0,746.0
1,arr,AUS,NK,Other carriers,8.0,1408.0,1121.0,1504.0
1,arr,AUS,UA,United,141.0,21103.0,17231.0,1504.0
1,arr,AVL,G4,Other carriers,10.0,1773.0,1222.0,583.0
1,arr,AVL,G7,Other carriers,8.0,400.0,363.0,583.0
1,arr,AVL,YX,Other carriers,24.0,1818.0,1391.0,583.0
1,arr,BDL,5X,Other carriers,1.0,0.0,0.0,116.0
1,arr,BDL,UA,United,1.0,166.0,52.0,116.0
1,arr,BED,7H,Other carriers,1.0,78.0,53.0,193.0
1,arr,BED,AC,Other carriers,1.0,146.0,57.0,193.0
1,arr,BED,DL,Other carriers,1.0,72.0,0.0,193.0
1,arr,BFI,7H,Other carriers,1.0,78.0,53.0,2401.0
1,arr,BGR,YX,Other carriers,30.0,2148.0,2013.0,393.0
1,arr,BIL,UA,United,1.0,179.0,147.0,1756.0
1,arr,BMG,MX,Other carriers,1.0,137.0,36.0,669.0
1,arr,BNA,NK,Other carriers,30.0,5280.0,3426.0,748.0
1,arr,BNA,UA,United,110.0,15191.0,11250.0,748.0
1,arr,BNA,YX,Other carriers,13.0,982.0,844.0,748.0
1,arr,BOS,5X,Other carriers,6.0,0.0,0.0,200.0
1,arr,BOS,B6,Other carriers,1.0,100.0,78.0,200.0
1,arr,BOS,DL,Other carriers,1.0,72.0,58.0,200.0
1,arr,BOS,FX,Other carriers,28.0,0.0,0.0,200.0
1,arr,BOS,NK,Other carriers,8.0,1408.0,563.0,200.0
1,arr,BOS,UA,United,209.0,33332.0,18082.0,200.0
1,arr,BOS,YX,Other carriers,86.0,6266.0,3515.0,200.0
1,arr,BQN,UA,United,31.0,5549.0,5199.0,1585.0
1,arr,BTV,UA,United,31.0,5302.0,2677.0,266.0
1,arr,BTV,YX,Other carriers,29.0,2054.0,1917.0,266.0
1,arr,BUF,5X,Other carriers,2.0,0.0,0.0,282.0
1,arr,BUF,G7,Other carriers,54.0,2700.0,2353.0,282.0
1,arr,BUF,UA,United,7.0,1253.0,989.0,282.0
1,arr,BUF,YX,Other carriers,24.0,1698.0,1302.0,282.0
1,arr,BWI,FX,Other carriers,15.0,0.0,0.0,169.0
1,arr,BZN,UA,United,34.0,5564.0,4176.0,1882.0
1,arr,CAE,5X,Other carriers,1.0,0.0,0.0,602.0
1,arr,CHS,B6,Other carriers,1.0,162.0,145.0,628.0
1,arr,CHS,NK,Other carriers,20.0,3520.0,2493.0,628.0
1,arr,CHS,UA,United,55.0,7634.0,4823.0,628.0
1,arr,CHS,YX,Other carriers,32.0,2420.0,2033.0,628.0
1,arr,CLE,DL,Other carriers,3.0,304.0,120.0,404.0
1,arr,CLE,FX,Other carriers,1.0,0.0,0.0,404.0
1,arr,CLE,G7,Other carriers,17.0,850.0,606.0,404.0
1,arr,CLE,UA,United,113.0,16992.0,9142.0,404.0
1,arr,CLE,YX,Other carriers,72.0,5472.0,4038.0,404.0
1,arr,CLT,AA,Other carriers,167.0,28824.0,21305.0,529.0
1,arr,CLT,DL,Other carriers,2.0,144.0,50.0,529.0
1,arr,CLT,NK,Other carriers,30.0,5704.0,3943.0,529.0
1,arr,CLT,UA,United,55.0,8343.0,4092.0,529.0
1,arr,CLT,YX,Other carriers,58.0,4288.0,3408.0,529.0
1,arr,CMH,7H,Other carriers,1.0,78.0,59.0,463.0
1,arr,CMH,G7,Other carriers,48.0,2400.0,2127.0,463.0
1,arr,CMH,YX,Other carriers,102.0,7602.0,5357.0,463.0
1,arr,CMI,MX,Other carriers,1.0,108.0,41.0,745.0
1,arr,CRW,MX,Other carriers,8.0,1067.0,553.0,427.0
1,arr,CVG,9E,Other carriers,72.0,5454.0,3248.0,569.0
1,arr,CVG,ABX,Other carriers,1.0,0.0,0.0,569.0
1,arr,CVG,G4,Other carriers,2.0,312.0,188.0,569.0
1,arr,CVG,G7,Other carriers,36.0,1800.0,1438.0,569.0
1,arr,CVG,YX,Other carriers,65.0,4826.0,3091.0,569.0
1,arr,DAL,AC,Other carriers,1.0,70.0,50.0,1365.0
1,arr,DAY,ZW,Other carriers,1.0,50.0,0.0,533.0
1,arr,DCA,G7,Other carriers,214.0,10700.0,7686.0,199.0
1,arr,DCA,YX,Other carriers,29.0,2204.0,1165.0,199.0
1,arr,DEN,DL,Other carriers,1.0,72.0,54.0,1605.0
1,arr,DEN,UA,United,255.0,47379.0,39786.0,1605.0
1,arr,DFW,5X,Other carriers,9.0,0.0,0.0,1372.0
1,arr,DFW,AA,Other carriers,103.0,18946.0,15559.0,1372.0
1,arr,DFW,NK,Other carriers,38.0,6688.0,4743.0,1372.0
1,arr,DFW,UA,United,152.0,19989.0,14553.0,1372.0
1,arr,DFW,YX,Other carriers,1.0,70.0,70.0,1372.0
1,arr,DSM,G4,Other carriers,2.0,360.0,268.0,1017.0
1,arr,DTW,DL,Other carriers,117.0,12814.0,10080.0,488.0
1,arr,DTW,G7,Other carriers,28.0,1400.0,1293.0,488.0
1,arr,DTW,UA,United,28.0,4019.0,1305.0,488.0
1,arr,DTW,YX,Other carriers,56.0,4142.0,3158.0,488.0
1,arr,EGE,UA,United,31.0,5456.0,3636.0,1725.0
1,arr,EYW,UA,United,31.0,3906.0,3533.0,1196.0
1,arr,FLL,5Y,Other carriers,1.0,189.0,163.0,1065.0
1,arr,FLL,B6,Other carriers,104.0,16824.0,14914.0,1065.0
1,arr,FLL,DL,Other carriers,1.0,72.0,0.0,1065.0
1,arr,FLL,FX,Other carriers,1.0,0.0,0.0,1065.0
1,arr,FLL,NK,Other carriers,144.0,26686.0,23459.0,1065.0
1,arr,FLL,UA,United,279.0,47513.0,39276.0,1065.0
1,arr,GRR,YX,Other carriers,61.0,4486.0,3788.0,605.0
1,arr,GSO,FX,Other carriers,16.0,0.0,0.0,445.0
1,arr,GSO,G7,Other carriers,59.0,2950.0,2263.0,445.0
1,arr,GSP,G7,Other carriers,47.0,2350.0,2015.0,594.0
1,arr,GSP,YX,Other carriers,12.0,900.0,787.0,594.0
1,arr,HDN,UA,United,18.0,2988.0,2253.0,1728.0
1,arr,HNL,UA,United,27.0,6237.0,4940.0,4962.0
1,arr,HPN,DL,Other carriers,2.0,144.0,0.0,35.0
1,arr,IAD,DL,Other carriers,1.0,72.0,60.0,212.0
1,arr,IAD,FX,Other carriers,18.0,0.0,0.0,212.0
1,arr,IAD,G7,Other carriers,33.0,1650.0,1326.0,212.0
1,arr,IAD,UA,United,115.0,19023.0,12799.0,212.0
1,arr,IAD,YX,Other carriers,2.0,152.0,102.0,212.0
1,arr,IAH,NK,Other carriers,28.0,4928.0,3496.0,1400.0
1,arr,IAH,UA,United,295.0,53954.0,44025.0,1400.0
1,arr,ILM,G7,Other carriers,47.0,2350.0,2028.0,488.0
1,arr,ILM,YX,Other carriers,11.0,818.0,720.0,488.0
1,arr,IND,B6,Other carriers,1.0,100.0,35.0,645.0
1,arr,IND,DL,Other carriers,1.0,72.0,67.0,645.0
1,arr,IND,FX,Other carriers,46.0,0.0,0.0,645.0
1,arr,IND,MX,Other carriers,1.0,108.0,44.0,645.0
1,arr,IND,NK,Other carriers,29.0,6270.0,3101.0,645.0
1,arr,IND,YX,Other carriers,142.0,10468.0,7090.0,645.0
1,arr,ITH,G7,Other carriers,59.0,2950.0,1743.0,172.0
1,arr,JAC,UA,United,59.0,7434.0,4327.0,1874.0
1,arr,JAX,UA,United,62.0,9196.0,7635.0,820.0
1,arr,JAX,YX,Other carriers,57.0,4158.0,3819.0,820.0
1,arr,JFK,DL,Other carriers,1.0,160.0,107.0,21.0
1,arr,LAF,MX,Other carriers,1.0,137.0,49.0,672.0
1,arr,LAS,DL,Other carriers,1.0,72.0,54.0,2227.0
1,arr,LAS,NK,Other carriers,52.0,9527.0,7891.0,2227.0
1,arr,LAS,UA,United,226.0,39281.0,30328.0,2227.0
1,arr,LAX,AS,Other carriers,39.0,6904.0,5819.0,2454.0
1,arr,LAX,FX,Other carriers,24.0,0.0,0.0,2454.0
1,arr,LAX,NK,Other carriers,52.0,9576.0,8364.0,2454.0
1,arr,LAX,UA,United,250.0,57935.0,45714.0,2454.0
1,arr,LNK,MX,Other carriers,2.0,245.0,133.0,1182.0
1,arr,MCO,B6,Other carriers,138.0,21554.0,18759.0,937.0
1,arr,MCO,DL,Other carriers,2.0,144.0,110.0,937.0
1,arr,MCO,NK,Other carriers,121.0,24010.0,19679.0,937.0
1,arr,MCO,UA,United,367.0,64124.0,52484.0,937.0
1,arr,MDT,UA,United,1.0,166.0,162.0,141.0
1,arr,MDW,DL,Other carriers,1.0,72.0,60.0,711.0
1,arr,MEM,DL,Other carriers,1.0,72.0,64.0,946.0
1,arr,MEM,FX,Other carriers,112.0,0.0,0.0,946.0
1,arr,MHT,5X,Other carriers,1.0,0.0,0.0,209.0
1,arr,MHT,FX,Other carriers,2.0,0.0,0.0,209.0
1,arr,MHT,G7,Other carriers,57.0,2850.0,1827.0,209.0
1,arr,MIA,AA,Other carriers,124.0,21716.0,19241.0,1085.0
1,arr,MIA,NK,Other carriers,54.0,9504.0,8237.0,1085.0
1,arr,MIA,UA,United,245.0,42971.0,35923.0,1085.0
1,arr,MKE,DL,Other carriers,3.0,324.0,187.0,725.0
1,arr,MKE,GCA,Other carriers,1.0,68.0,61.0,725.0
1,arr,MKE,YX,Other carriers,59.0,4286.0,3307.0,725.0
1,arr,MKE,ZW,Other carriers,1.0,50.0,29.0,725.0
1,arr,MSN,SY,Other carriers,1.0,186.0,46.0,799.0
1,arr,MSN,UA,United,5.0,790.0,592.0,799.0
1,arr,MSN,YX,Other carriers,24.0,1824.0,1378.0,799.0
1,arr,MSP,DL,Other carriers,90.0,9933.0,8121.0,1008.0
1,arr,MSP,MX,Other carriers,1.0,137.0,32.0,1008.0
1,arr,MSP,SY,Other carriers,9.0,1674.0,1244.0,1008.0
1,arr,MSP,YX,Other carriers,82.0,6184.0,4526.0,1008.0
1,arr,MSY,NK,Other carriers,28.0,5299.0,3972.0,1167.0
1,arr,MSY,UA,United,86.0,13485.0,9585.0,1167.0
1,arr,MSY,YX,Other carriers,1.0,76.0,76.0,1167.0
1,arr,MTJ,UA,United,19.0,2394.0,1466.0,1795.0
1,arr,MYR,NK,Other carriers,29.0,5104.0,4205.0,550.0
1,arr,MYR,YX,Other carriers,29.0,2204.0,1733.0,550.0
1,arr,OAK,FX,Other carriers,3.0,0.0,0.0,2555.0
1,arr,OGG,UA,United,1.0,167.0,161.0,4904.0
1,arr,OKC,C5,Other carriers,1.0,75.0,0.0,1325.0
1,arr,OKC,DL,Other carriers,1.0,72.0,58.0,1325.0
1,arr,OMA,B6,Other carriers,1.0,100.0,32.0,1134.0
1,arr,OMA,UA,United,1.0,126.0,125.0,1134.0
1,arr,ONT,5X,Other carriers,10.0,0.0,0.0,2409.0
1,arr,ORD,AA,Other carriers,31.0,5332.0,3729.0,719.0
1,arr,ORD,DL,Other carriers,2.0,144.0,0.0,719.0
1,arr,ORD,MQ,Other carriers,85.0,5646.0,4664.0,719.0
1,arr,ORD,MX,Other carriers,1.0,137.0,39.0,719.0
1,arr,ORD,NK,Other carriers,25.0,4400.0,3187.0,719.0
1,arr,ORD,UA,United,355.0,61454.0,47711.0,719.0
1,arr,ORD,YX,Other carriers,5.0,380.0,355.0,719.0
1,arr,ORF,G7,Other carriers,53.0,2650.0,2070.0,284.0
1,arr,ORF,TJ,Other carriers,1.0,8.0,2.0,284.0
1,arr,ORF,UA,United,26.0,3369.0,1684.0,284.0
1,arr,ORF,YX,Other carriers,29.0,2186.0,1792.0,284.0
1,arr,PBI,B6,Other carriers,73.0,11154.0,10160.0,1023.0
1,arr,PBI,UA,United,273.0,46526.0,37877.0,1023.0
1,arr,PDX,AS,Other carriers,5.0,852.0,711.0,2434.0
1,arr,PDX,UA,United,31.0,5455.0,4673.0,2434.0
1,arr,PHL,5X,Other carriers,15.0,0.0,0.0,80.0
1,arr,PHL,AA,Other carriers,1.0,172.0,143.0,80.0
1,arr,PHL,DL,Other carriers,3.0,216.0,0.0,80.0
1,arr,PHL,UA,United,1.0,179.0,138.0,80.0
1,arr,PHX,AA,Other carriers,89.0,16550.0,13262.0,2133.0
1,arr,PHX,UA,United,130.0,22429.0,17206.0,2133.0
1,arr,PIT,G7,Other carriers,52.0,2600.0,2289.0,319.0
1,arr,PIT,NK,Other carriers,30.0,6870.0,2910.0,319.0
1,arr,PIT,YX,Other carriers,126.0,9522.0,6011.0,319.0
1,arr,PVD,G7,Other carriers,55.0,2750.0,2188.0,160.0
1,arr,PVD,UA,United,3.0,418.0,123.0,160.0
1,arr,PVD,YX,Other carriers,3.0,222.0,117.0,160.0
1,arr,PWM,G7,Other carriers,21.0,1050.0,950.0,284.0
1,arr,PWM,UA,United,31.0,5146.0,3899.0,284.0
1,arr,PWM,YX,Other carriers,36.0,2730.0,2628.0,284.0
1,arr,RDU,9E,Other carriers,74.0,5622.0,4165.0,416.0
