year,month,side,carrier_group,departures_performed,seats,passengers,active_routes
2024,1,arr,Other carriers,1821,289291,231123,38
2024,1,arr,United,1868,372018,313904,53
2024,1,dep,Other carriers,1822,287880,210763,38
2024,1,dep,United,1869,372580,298408,54
2024,2,arr,Other carriers,1682,263408,203981,40
2024,2,arr,United,1696,340581,268255,52
2024,2,dep,Other carriers,1679,263054,200191,39
2024,2,dep,United,1706,343365,284653,53
2024,3,arr,Other carriers,1828,290074,243659,42
2024,3,arr,United,1966,395325,344042,57
2024,3,dep,Other carriers,1824,288971,244044,40
2024,3,dep,United,1978,398240,347912,59
2024,4,arr,Other carriers,1780,282885,241212,39
2024,4,arr,United,2185,435664,378522,61
2024,4,dep,Other carriers,1780,283004,233566,41
2024,4,dep,United,2212,440771,366410,62
2024,5,arr,Other carriers,1855,305596,250238,40
2024,5,arr,United,2241,446586,381159,68
2024,5,dep,Other carriers,1848,303309,274170,41
2024,5,dep,United,2264,451223,403588,67
2024,6,arr,Other carriers,1854,311059,261769,44
2024,6,arr,United,2441,487554,420734,69
2024,6,dep,Other carriers,1853,311472,285458,41
2024,6,dep,United,2477,493974,445168,71
2024,7,arr,Other carriers,2335,380620,330937,43
2024,7,arr,United,2544,513312,468179,70
2024,7,dep,Other carriers,2331,376768,311822,43
2024,7,dep,United,2571,518490,459966,69
2024,8,arr,Other carriers,1897,323414,305390,41
2024,8,arr,United,2368,468728,432728,68
2024,8,dep,Other carriers,1914,326236,286873,41
2024,8,dep,United,2432,480164,431099,69
2024,9,arr,Other carriers,1857,304439,269235,40
2024,9,arr,United,2028,406544,351925,63
2024,9,dep,Other carriers,1851,301887,253409,40
2024,9,dep,United,2041,409359,352691,65
2024,10,arr,Other carriers,1822,291683,257481,40
2024,10,arr,United,1930,389979,341910,60
2024,10,dep,Other carriers,1823,290019,236631,40
2024,10,dep,United,1934,390447,337101,61
2024,11,arr,Other carriers,1600,250594,207976,36
2024,11,arr,United,1824,368874,299398,57
2024,11,dep,Other carriers,1600,250559,212793,36
2024,11,dep,United,1838,371465,316295,58
2024,12,arr,Other carriers,1649,261722,222486,38
2024,12,arr,United,2078,410942,330608,57
2024,12,dep,Other carriers,1653,262332,237837,37
2024,12,dep,United,2092,413773,375325,57
2025,1,arr,Other carriers,1979,298866,243169,40
2025,1,arr,United,1989,393629,334542,57
2025,1,dep,Other carriers,1971,298814,223201,39
2025,1,dep,United,1990,393985,321350,57
2025,2,arr,Other carriers,1641,252255,200512,38
2025,2,arr,United,1786,355742,282814,58
2025,2,dep,Other carriers,1626,249692,193126,38
2025,2,dep,United,1790,356695,292768,59
2025,3,arr,Other carriers,1948,294393,233332,44
2025,3,arr,United,2186,435960,361586,64
2025,3,dep,Other carriers,1946,293866,231823,43
2025,3,dep,United,2212,441252,365947,67
2025,4,arr,Other carriers,1730,280853,234057,41
2025,4,arr,United,2360,478674,402484,64
2025,4,dep,Other carriers,1738,281424,226558,40
2025,4,dep,United,2391,485128,401497,65
2025,5,arr,Other carriers,1832,306009,223091,43
2025,5,arr,United,2286,467049,357600,69
2025,5,dep,Other carriers,1838,306423,245649,43
2025,5,dep,United,2310,471805,379216,70
2025,6,arr,Other carriers,1752,301223,231696,41
2025,6,arr,United,2433,493902,389021,75
2025,6,dep,Other carriers,1752,300716,258507,43
2025,6,dep,United,2452,497235,429166,74
2025,7,arr,Other carriers,2149,348643,305295,48
2025,7,arr,United,2653,535004,473199,74
2025,7,dep,Other carriers,2134,346982,291243,48
2025,7,dep,United,2704,544794,472965,77
2025,8,arr,Other carriers,2169,338635,309792,46
2025,8,arr,United,2708,547493,508447,74
2025,8,dep,Other carriers,2168,338332,289483,46
2025,8,dep,United,2735,553236,498198,75
2025,9,arr,Other carriers,2007,311565,266697,43
2025,9,arr,United,2164,450731,379646,68
2025,9,dep,Other carriers,2009,311466,248737,43
2025,9,dep,United,2186,454736,381286,68
2025,10,arr,Other carriers,2044,299047,258831,40
2025,10,arr,United,2067,437409,372648,66
2025,10,dep,Other carriers,2041,298872,240338,40
2025,10,dep,United,2069,438255,368170,63
2025,11,arr,Other carriers,1863,281746,214566,37
2025,11,arr,United,2034,422110,338470,61
2025,11,dep,Other carriers,1854,281170,217955,36
2025,11,dep,United,2054,425837,358461,61
2025,12,arr,Other carriers,1969,282330,227487,40
2025,12,arr,United,2225,449246,350733,62
2025,12,dep,Other carriers,1959,281640,247441,39
2025,12,dep,United,2241,452449,409349,61
