airport,side,dominant_carrier,dominant_carrier_share
ATL,arr,DL,0.762794984037126
ATL,dep,DL,0.762872004213853
AUS,arr,WN,0.43727598566308246
AUS,dep,WN,0.43752892179546504
BNA,arr,WN,0.5427597310351359
BNA,dep,WN,0.5428625556502794
BOS,arr,B6,0.27794561933534745
BOS,dep,B6,0.2779532967032967
BWI,arr,WN,0.7435682032972802
BWI,dep,WN,0.743643622609792
CLE,arr,UA,0.22294589178356713
CLE,dep,UA,0.22272385252069224
CLT,arr,AA,0.5799376144972026
CLT,dep,AA,0.579862314892774
CMH,arr,YX,0.2875226039783002
CMH,dep,YX,0.28587596197374376
CVG,arr,DL,0.21428571428571427
CVG,dep,DL,0.21417797888386123
DAL,arr,WN,0.9723247232472325
DAL,dep,WN,0.9724588302101079
DCA,arr,OH,0.29418504726439415
DCA,dep,OH,0.2942271880819367
DEN,arr,UA,0.3283526838297156
DEN,dep,UA,0.3283843382823284
DFW,arr,AA,0.5274322853089637
DFW,dep,AA,0.5274359058963276
DTW,arr,DL,0.5013477088948787
DTW,dep,DL,0.5013904103817308
EWR,arr,UA,0.5742304804804805
EWR,dep,UA,0.5747913345212416
FLL,arr,NK,0.2493422626165989
FLL,dep,NK,0.24943256480707204
HNL,arr,HA,0.5648868778280542
HNL,dep,HA,0.5652488687782805
HOU,arr,WN,0.9272222222222222
HOU,dep,WN,0.927037037037037
IAD,arr,UA,0.6054590570719603
IAD,dep,UA,0.6064516129032258
IAH,arr,UA,0.6170081787002023
IAH,dep,UA,0.6170549450549451
IND,arr,YX,0.3076754865514979
IND,dep,YX,0.3084827284652383
JFK,arr,B6,0.3501378495470658
JFK,dep,B6,0.35025580480125934
LAS,arr,WN,0.4667090417924678
LAS,dep,WN,0.4666137145882976
LAX,arr,OO,0.21113564159172904
LAX,dep,OO,0.21108179419525067
LGA,arr,YX,0.395040942833091
LGA,dep,YX,0.3944694828508135
MCI,arr,WN,0.492080033347228
MCI,dep,WN,0.492080033347228
MCO,arr,WN,0.28346605991657187
MCO,dep,WN,0.28343124249889456
MDW,arr,WN,0.9106352605281941
MDW,dep,WN,0.9105308219178082
MIA,arr,AA,0.5782072219197968
MIA,dep,AA,0.57924391130498
MSP,arr,DL,0.6032299504496238
MSP,dep,DL,0.6033755274261603
MSY,arr,WN,0.34811699483846303
MSY,dep,WN,0.34811699483846303
OAK,arr,WN,0.8762744557729402
OAK,dep,WN,0.87648194099807
ORD,arr,UA,0.3007371165545434
ORD,dep,UA,0.30096274591879446
PDX,arr,AS,0.3118355776045358
PDX,dep,AS,0.31226765799256506
PHL,arr,AA,0.46007944389275074
PHL,dep,AA,0.460186656076251
PHX,arr,WN,0.3436285840751488
PHX,dep,WN,0.3434105097576562
PIT,arr,WN,0.23050058207217694
PIT,dep,WN,0.23039329764952293
RDU,arr,DL,0.2080536912751678
RDU,dep,DL,0.2081312942931742
RSW,arr,WN,0.21354892667967662
RSW,dep,WN,0.21301446051167963
SAN,arr,WN,0.36167055331778675
SAN,dep,WN,0.36170889430721936
SAT,arr,WN,0.3823738450604122
SAT,dep,WN,0.3824644549763033
SEA,arr,AS,0.46873401534526854
SEA,dep,AS,0.4690537084398977
SFO,arr,UA,0.379017795558008
SFO,dep,UA,0.3789132533443663
SJC,arr,WN,0.5934816119797401
SJC,dep,WN,0.5934816119797401
SJU,arr,B6,0.30570691138514483
SJU,dep,B6,0.3054201319185546
SLC,arr,DL,0.48573228913493566
SLC,dep,DL,0.48573228913493566
SMF,arr,WN,0.551860106291788
SMF,dep,WN,0.5517655125128557
SNA,arr,WN,0.31228551818805766
SNA,dep,WN,0.31228551818805766
STL,arr,WN,0.6395803976827932
STL,dep,WN,0.6401817896881367
TPA,arr,WN,0.29595361460646435
TPA,dep,WN,0.29595361460646435
