airport,side,period,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,days,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
ATL,arr,cap_20250616_1025,118191,116848,1343.0,20243.0,266544.0,132,895.3863636363636,0.011362963339002123,0.17324216075585375,2.2551970962256007
ATL,arr,extension_20251026_1231,56706,55369,1337.0,10549.0,179009.0,67,846.3582089552239,0.023577751913377774,0.1905217721107479,3.156791168483053
ATL,arr,interim_20250520_0615,24299,24136,163.0,5404.0,86380.0,27,899.9629629629629,0.0067080949833326475,0.22389791183294663,3.5548788015967734
ATL,arr,pre_20250101_0414,84860,83054,1806.0,16056.0,259991.0,104,815.9615384615385,0.021282111713410323,0.19332000866905868,3.0637638463351404
ATL,arr,stress_20250415_0519,30383,30280,103.0,5850.0,79236.0,35,868.0857142857143,0.003390053648421815,0.19319682959048878,2.6079057367606886
ATL,dep,cap_20250616_1025,118174,116880,1294.0,26783.0,381640.0,132,895.2575757575758,0.010949955150879213,0.2291495550992471,3.2294751806657978
ATL,dep,extension_20251026_1231,56700,55417,1283.0,12989.0,183696.0,67,846.2686567164179,0.022627865961199294,0.23438656008084163,3.23978835978836
ATL,dep,interim_20250520_0615,24310,24149,161.0,7069.0,100455.0,27,900.3703703703703,0.006622788975730152,0.29272433641144563,4.132250102838338
ATL,dep,pre_20250101_0414,84873,83166,1707.0,19213.0,264989.0,104,816.0865384615385,0.020112403237778798,0.23101988793497344,3.1221825551117552
ATL,dep,stress_20250415_0519,30376,30285,91.0,7039.0,146366.0,35,867.8857142857142,0.0029957861469581248,0.23242529304936438,4.818475111930471
AUS,arr,cap_20250616_1025,32213,31947,266.0,7456.0,85199.0,132,244.03787878787878,0.008257535777481142,0.23338654646758694,2.644863874833142
AUS,arr,extension_20251026_1231,16393,16276,117.0,3956.0,56194.0,67,244.67164179104478,0.007137192704203013,0.2430572622265913,3.4279265540169583
AUS,arr,interim_20250520_0615,6742,6700,42.0,1925.0,34261.0,27,249.7037037037037,0.006229605458320973,0.2873134328358209,5.0817264906555915
AUS,arr,pre_20250101_0414,22744,22471,273.0,4204.0,44034.0,104,218.69230769230768,0.012003165670066832,0.1870855769658671,1.9360710517059445
AUS,arr,stress_20250415_0519,8649,8572,77.0,2019.0,36086.0,35,247.11428571428573,0.008902763325239912,0.23553429771348577,4.172274251358538
AUS,dep,cap_20250616_1025,32212,31921,291.0,7684.0,110928.0,132,244.03030303030303,0.009033900409785174,0.2407192757119138,3.443685583012542
AUS,dep,extension_20251026_1231,16391,16258,133.0,4194.0,56772.0,67,244.6417910447761,0.008114209017143555,0.25796530938614837,3.463608077603563
AUS,dep,interim_20250520_0615,6744,6702,42.0,2043.0,27835.0,27,249.77777777777777,0.006227758007117438,0.30483437779767236,4.127372479240806
AUS,dep,pre_20250101_0414,22740,22460,280.0,4123.0,48713.0,104,218.65384615384616,0.012313104661389622,0.1835707925200356,2.1421723834652595
AUS,dep,stress_20250415_0519,8644,8559,85.0,2120.0,33028.0,35,246.97142857142856,0.00983341045812124,0.2476924874401215,3.820916242480333
BNA,arr,cap_20250616_1025,39807,39441,366.0,8917.0,102620.0,132,301.5681818181818,0.009194362800512473,0.22608453132527065,2.5779385535207378
