airport,side,weekly_service_markets_stress,weekly_retention_rate,daily_service_markets_stress,daily_retention_rate
ATL,arr,132,0.9924242424242424,125,1.0
ATL,dep,132,0.9924242424242424,125,1.0
AUS,arr,68,1.0,52,0.9807692307692307
AUS,dep,68,1.0,52,0.9807692307692307
BNA,arr,90,1.0,69,1.0
BNA,dep,90,1.0,69,1.0
BOS,arr,67,0.9701492537313433,56,0.9821428571428571
BOS,dep,68,0.9705882352941176,56,0.9821428571428571
BWI,arr,65,1.0,61,1.0
BWI,dep,65,1.0,61,1.0
CLE,arr,35,1.0,30,1.0
CLE,dep,35,1.0,31,0.9354838709677419
CLT,arr,118,1.0,115,1.0
CLT,dep,118,1.0,115,1.0
CMH,arr,36,1.0,34,1.0
CMH,dep,36,1.0,34,1.0
CVG,arr,42,0.9761904761904762,28,0.9642857142857143
CVG,dep,42,0.9761904761904762,28,0.9642857142857143
DAL,arr,64,1.0,56,0.9642857142857143
DAL,dep,64,1.0,56,0.9642857142857143
DCA,arr,97,1.0,90,0.9888888888888889
DCA,dep,97,1.0,89,0.9775280898876404
DEN,arr,168,0.9940476190476191,162,0.9938271604938271
DEN,dep,168,0.9940476190476191,162,0.9938271604938271
DFW,arr,178,1.0,172,1.0
DFW,dep,178,1.0,172,1.0
DTW,arr,86,1.0,82,0.9878048780487805
DTW,dep,86,1.0,82,0.9878048780487805
EWR,arr,68,0.9852941176470589,59,0.9322033898305084
EWR,dep,67,0.9850746268656716,58,0.9655172413793104
FLL,arr,84,0.9166666666666666,54,0.9629629629629629
FLL,dep,84,0.9166666666666666,54,0.9814814814814815
HNL,arr,32,0.9375,28,0.9642857142857143
HNL,dep,32,0.9375,28,0.9642857142857143
HOU,arr,60,1.0,51,0.9803921568627451
HOU,dep,60,1.0,51,0.9803921568627451
IAD,arr,55,0.9090909090909091,45,0.9555555555555556
IAD,dep,55,0.9090909090909091,46,0.9565217391304348
IAH,arr,85,0.8823529411764706,68,0.8970588235294118
IAH,dep,85,0.8705882352941177,68,0.8970588235294118
IND,arr,42,1.0,32,1.0
IND,dep,42,1.0,32,1.0
JFK,arr,58,0.9482758620689655,49,0.9795918367346939
JFK,dep,58,0.9482758620689655,49,0.9795918367346939
LAS,arr,121,0.9917355371900827,84,0.9761904761904762
LAS,dep,121,0.9917355371900827,84,0.9761904761904762
LAX,arr,80,0.975,73,0.9863013698630136
LAX,dep,80,0.975,73,0.9863013698630136
LGA,arr,64,0.953125,54,0.9629629629629629
LGA,dep,64,0.953125,54,0.9629629629629629
MCI,arr,48,0.9791666666666666,37,0.9459459459459459
MCI,dep,48,0.9791666666666666,37,0.9459459459459459
MCO,arr,77,0.987012987012987,67,1.0
MCO,dep,77,0.987012987012987,67,1.0
MDW,arr,73,1.0,64,0.984375
MDW,dep,73,1.0,64,0.984375
MIA,arr,70,0.9714285714285714,64,0.984375
MIA,dep,70,0.9714285714285714,64,0.984375
MSP,arr,100,0.97,90,0.9888888888888889
MSP,dep,100,0.97,90,0.9888888888888889
MSY,arr,40,0.925,35,1.0
MSY,dep,40,0.925,35,1.0
OAK,arr,28,1.0,27,0.9259259259259259
OAK,dep,28,1.0,27,0.9259259259259259
ORD,arr,149,1.0,139,0.9640287769784173
ORD,dep,149,1.0,139,0.9640287769784173
PDX,arr,51,0.9411764705882353,39,0.9487179487179487
PDX,dep,51,0.9411764705882353,38,0.9473684210526315
PHL,arr,66,1.0,57,0.9649122807017544
PHL,dep,66,1.0,57,0.9649122807017544
PHX,arr,102,0.9705882352941176,96,0.96875
PHX,dep,102,0.9705882352941176,96,0.96875
PIT,arr,45,1.0,33,0.9393939393939394
PIT,dep,45,1.0,33,0.9393939393939394
RDU,arr,38,1.0,34,1.0
RDU,dep,38,1.0,34,1.0
RSW,arr,36,0.8888888888888888,29,0.896551724137931
RSW,dep,36,0.8888888888888888,29,0.896551724137931
SAN,arr,56,0.9821428571428571,53,0.9622641509433962
SAN,dep,56,0.9821428571428571,53,0.9622641509433962
SAT,arr,35,1.0,32,1.0
SAT,dep,35,1.0,32,1.0
SEA,arr,80,0.9875,75,1.0
SEA,dep,80,0.9875,75,1.0
SFO,arr,67,1.0,66,1.0
SFO,dep,67,1.0,66,1.0
SJC,arr,31,1.0,24,0.9583333333333334
SJC,dep,31,1.0,24,0.9583333333333334
SJU,arr,33,1.0,25,0.96
SJU,dep,33,1.0,24,1.0
SLC,arr,85,1.0,84,0.9880952380952381
SLC,dep,85,1.0,84,1.0
SMF,arr,44,1.0,39,1.0
SMF,dep,44,1.0,39,1.0
SNA,arr,30,0.9666666666666667,21,1.0
SNA,dep,30,0.9666666666666667,21,1.0
STL,arr,57,1.0,52,1.0
STL,dep,57,1.0,52,1.0
TPA,arr,55,0.9818181818181818,51,0.9803921568627451
TPA,dep,55,0.9818181818181818,51,0.9607843137254902
